Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,2.53E+00,1.32E-02,1.57E+03,1.57E+03,1.57E+03
1.50E-03,2.29E+00,2.39E-02,5.33E+02,5.36E+02,5.33E+02
2.00E-03,2.05E+00,3.39E-02,2.78E+03,2.78E+03,2.78E+03
3.00E-03,1.67E+00,4.96E-02,9.77E+02,9.78E+02,9.77E+02
4.00E-03,1.40E+00,6.14E-02,4.51E+02,4.53E+02,4.51E+02
5.00E-03,1.21E+00,7.11E-02,2.44E+02,2.45E+02,2.44E+02
6.00E-03,1.05E+00,7.98E-02,1.46E+02,1.47E+02,1.46E+02
8.00E-03,8.04E-01,9.51E-02,6.38E+01,6.47E+01,6.39E+01
1.00E-02,6.22E-01,1.08E-01,3.32E+01,3.39E+01,3.33E+01
1.50E-02,3.59E-01,1.29E-01,9.85E+00,1.03E+01,9.98E+00
2.00E-02,2.34E-01,1.40E-01,4.09E+00,4.46E+00,4.23E+00
3.00E-02,1.26E-01,1.50E-01,1.16E+00,1.44E+00,1.31E+00
4.00E-02,7.89E-02,1.53E-01,4.69E-01,7.01E-01,6.22E-01
5.00E-02,5.40E-02,1.54E-01,2.31E-01,4.39E-01,3.85E-01
6.00E-02,3.92E-02,1.53E-01,1.29E-01,3.21E-01,2.82E-01
8.00E-02,2.32E-02,1.48E-01,5.12E-02,2.23E-01,2.00E-01
1.00E-01,1.54E-02,1.43E-01,2.50E-02,1.84E-01,1.68E-01
