Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,3.58E+00,1.49E-02,4.86E+03,4.87E+03,4.86E+03
1.50E-03,3.26E+00,2.36E-02,1.71E+03,1.71E+03,1.71E+03
2.00E-03,2.96E+00,3.10E-02,7.97E+02,8.00E+02,7.97E+02
3.00E-03,2.46E+00,4.48E-02,2.65E+02,2.68E+02,2.65E+02
4.00E-03,2.05E+00,5.72E-02,1.20E+02,1.22E+02,1.20E+02
4.04E-03,2.04E+00,5.76E-02,1.17E+02,1.19E+02,1.17E+02
4.04E-03,2.04E+00,5.76E-02,1.02E+03,1.02E+03,1.02E+03
5.00E-03,1.72E+00,6.80E-02,6.01E+02,6.03E+02,6.01E+02
6.00E-03,1.47E+00,7.72E-02,3.72E+02,3.73E+02,3.72E+02
8.00E-03,1.12E+00,9.17E-02,1.71E+02,1.73E+02,1.72E+02
1.00E-02,8.95E-01,1.02E-01,9.24E+01,9.34E+01,9.25E+01
1.50E-02,5.67E-01,1.21E-01,2.91E+01,2.98E+01,2.92E+01
2.00E-02,3.82E-01,1.32E-01,1.26E+01,1.31E+01,1.27E+01
3.00E-02,2.06E-01,1.44E-01,3.73E+00,4.08E+00,3.87E+00
4.00E-02,1.30E-01,1.48E-01,1.55E+00,1.83E+00,1.70E+00
5.00E-02,9.04E-02,1.49E-01,7.80E-01,1.02E+00,9.29E-01
6.00E-02,6.65E-02,1.49E-01,4.43E-01,6.58E-01,5.91E-01
8.00E-02,4.01E-02,1.45E-01,1.80E-01,3.66E-01,3.25E-01
1.00E-01,2.67E-02,1.41E-01,8.93E-02,2.57E-01,2.30E-01
