Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,1.50E+00,8.51E-03,4.59E+03,4.59E+03,4.59E+03
1.50E-03,1.39E+00,1.77E-02,1.55E+03,1.55E+03,1.55E+03
2.00E-03,1.26E+00,2.85E-02,6.94E+02,6.95E+02,6.94E+02
3.00E-03,1.00E+00,5.09E-02,2.16E+02,2.17E+02,2.16E+02
4.00E-03,7.83E-01,7.10E-02,9.23E+01,9.32E+01,9.24E+01
5.00E-03,6.18E-01,8.74E-02,4.72E+01,4.79E+01,4.73E+01
6.00E-03,4.98E-01,1.00E-01,2.71E+01,2.77E+01,2.72E+01
8.00E-03,3.45E-01,1.18E-01,1.12E+01,1.16E+01,1.13E+01
1.00E-02,2.57E-01,1.29E-01,5.57E+00,5.95E+00,5.70E+00
1.50E-02,1.49E-01,1.45E-01,1.54E+00,1.84E+00,1.69E+00
2.00E-02,9.89E-02,1.54E-01,6.12E-01,8.65E-01,7.66E-01
3.00E-02,5.25E-02,1.61E-01,1.64E-01,3.78E-01,3.25E-01
4.00E-02,3.22E-02,1.62E-01,6.40E-02,2.59E-01,2.26E-01
5.00E-02,2.17E-02,1.61E-01,3.07E-02,2.13E-01,1.92E-01
6.00E-02,1.56E-02,1.58E-01,1.68E-02,1.91E-01,1.75E-01
8.00E-02,9.14E-03,1.52E-01,6.50E-03,1.68E-01,1.59E-01
1.00E-01,5.99E-03,1.46E-01,3.11E-03,1.55E-01,1.49E-01
