Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,1.29E+00,1.10E-02,3.31E+03,3.31E+03,3.31E+03
1.50E-03,1.18E+00,2.24E-02,1.08E+03,1.08E+03,1.08E+03
2.00E-03,1.05E+00,3.51E-02,4.76E+02,4.77E+02,4.76E+02
3.00E-03,8.00E-01,5.99E-02,1.45E+02,1.46E+02,1.45E+02
4.00E-03,6.11E-01,8.02E-02,6.10E+01,6.17E+01,6.11E+01
5.00E-03,4.77E-01,9.57E-02,3.09E+01,3.14E+01,3.10E+01
6.00E-03,3.84E-01,1.07E-01,1.76E+01,1.81E+01,1.77E+01
8.00E-03,2.69E-01,1.23E-01,7.17E+00,7.56E+00,7.29E+00
1.00E-02,2.03E-01,1.33E-01,3.54E+00,3.88E+00,3.68E+00
1.50E-02,1.21E-01,1.48E-01,9.67E-01,1.24E+00,1.12E+00
2.00E-02,8.04E-02,1.57E-01,3.81E-01,6.18E-01,5.38E-01
3.00E-02,4.23E-02,1.63E-01,1.01E-01,3.07E-01,2.64E-01
4.00E-02,2.58E-02,1.64E-01,3.91E-02,2.29E-01,2.03E-01
5.00E-02,1.74E-02,1.62E-01,1.87E-02,1.98E-01,1.81E-01
6.00E-02,1.25E-02,1.59E-01,1.02E-02,1.82E-01,1.69E-01
8.00E-02,7.30E-03,1.53E-01,3.92E-03,1.64E-01,1.57E-01
1.00E-01,4.77E-03,1.46E-01,1.87E-03,1.53E-01,1.48E-01
