Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,3.47E-01,5.03E-02,6.82E+00,7.21E+00,6.87E+00
1.50E-03,2.98E-01,9.86E-02,1.75E+00,2.15E+00,1.85E+00
2.00E-03,2.47E-01,1.48E-01,6.64E-01,1.06E+00,8.12E-01
3.00E-03,1.65E-01,2.28E-01,1.68E-01,5.61E-01,3.96E-01
4.00E-03,1.12E-01,2.79E-01,6.29E-02,4.55E-01,3.42E-01
5.00E-03,8.01E-02,3.10E-01,2.93E-02,4.19E-01,3.39E-01
6.00E-03,5.97E-02,3.29E-01,1.57E-02,4.04E-01,3.45E-01
8.00E-03,3.66E-02,3.49E-01,5.87E-03,3.91E-01,3.55E-01
1.00E-02,2.46E-02,3.58E-01,2.72E-03,3.85E-01,3.61E-01
1.50E-02,1.16E-02,3.64E-01,6.74E-04,3.76E-01,3.65E-01
2.00E-02,6.69E-03,3.63E-01,2.50E-04,3.70E-01,3.63E-01
3.00E-02,3.02E-03,3.54E-01,6.17E-05,3.57E-01,3.54E-01
4.00E-02,1.71E-03,3.44E-01,2.28E-05,3.46E-01,3.44E-01
5.00E-02,1.10E-03,3.34E-01,1.06E-05,3.36E-01,3.34E-01
6.00E-02,7.65E-04,3.25E-01,5.65E-06,3.26E-01,3.25E-01
8.00E-02,4.31E-04,3.09E-01,2.11E-06,3.09E-01,3.09E-01
1.00E-01,2.76E-04,2.94E-01,9.82E-07,2.94E-01,2.94E-01
