Photon   ,Coherent,Incoher.,Photoel.,Tot. w/ ,Tot. wo/
Energy   ,Scatter.,Scatter.,Absorb. ,Coherent,Coherent
1.00E-03,1.08E+00,1.26E-02,2.21E+03,2.21E+03,2.21E+03
1.50E-03,9.59E-01,2.51E-02,6.99E+02,7.00E+02,7.00E+02
2.00E-03,8.32E-01,3.86E-02,3.02E+02,3.03E+02,3.02E+02
3.00E-03,6.13E-01,6.41E-02,8.97E+01,9.03E+01,8.97E+01
4.00E-03,4.60E-01,8.45E-02,3.72E+01,3.78E+01,3.73E+01
5.00E-03,3.60E-01,9.95E-02,1.87E+01,1.91E+01,1.88E+01
6.00E-03,2.92E-01,1.10E-01,1.05E+01,1.10E+01,1.07E+01
8.00E-03,2.10E-01,1.25E-01,4.24E+00,4.58E+00,4.37E+00
1.00E-02,1.62E-01,1.35E-01,2.08E+00,2.37E+00,2.21E+00
1.50E-02,9.79E-02,1.51E-01,5.59E-01,8.07E-01,7.10E-01
2.00E-02,6.48E-02,1.60E-01,2.18E-01,4.42E-01,3.77E-01
3.00E-02,3.37E-02,1.66E-01,5.71E-02,2.56E-01,2.23E-01
4.00E-02,2.05E-02,1.65E-01,2.19E-02,2.08E-01,1.87E-01
5.00E-02,1.37E-02,1.63E-01,1.04E-02,1.87E-01,1.73E-01
6.00E-02,9.81E-03,1.60E-01,5.67E-03,1.75E-01,1.66E-01
8.00E-02,5.71E-03,1.53E-01,2.17E-03,1.61E-01,1.55E-01
1.00E-01,3.72E-03,1.47E-01,1.03E-03,1.51E-01,1.48E-01
