Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],1.21737e-19,1.83418e-20,5.77206e-21,2.47041e-21,1.25649e-21,7.18434e-22,4.45738e-22,2.93731e-22,2.02751e-22,1.45203e-22,1.07158e-22,8.10814e-23,6.26615e-23,4.93141e-23,3.94286e-23,3.19667e-23,2.624e-23,2.17799e-23,1.82605e-23,1.5454e-23,1.31858e-23,1.13356e-23,9.81196e-24,8.54629e-24,7.48655e-24,6.59276e-24,5.83388e-24,5.18555e-24,4.62848e-24,4.14726e-24,3.72951e-24,3.36518e-24,3.04605e-24,2.76537e-24,2.51757e-24,2.29802e-24,2.10282e-24,1.92873e-24,1.77299e-24,1.63326e-24,1.50756e-24,1.39418e-24,1.29167e-24,1.19877e-24,1.11438e-24,1.03757e-24,9.67504e-25,9.03474e-25,8.44849e-25,7.91075e-25,7.41667e-25,6.96195e-25,6.5428e-25,6.15584e-25,5.79807e-25,5.46684e-25,5.15975e-25,4.87466e-25,4.60968e-25,4.36307e-25,4.1333e-25,3.91897e-25,3.71882e-25,3.53172e-25,3.35663e-25,3.19262e-25,3.03884e-25,2.89451e-25,2.75893e-25,2.63145e-25,2.5115e-25,2.39852e-25,2.29204e-25,2.19158e-25,2.09675e-25,2.00716e-25,1.92246e-25,1.84232e-25,1.76645e-25,1.69457e-25,1.62643e-25,1.56179e-25,1.50043e-25,1.44215e-25,1.38677e-25,1.3341e-25,1.28399e-25,1.23629e-25,1.19085e-25,1.14755e-25,1.10627e-25,1.06689e-25,1.0293e-25,9.93404e-26,9.59114e-26,9.26339e-26,8.95e-26,8.6502e-26,8.36327e-26,8.03486e-26,7.77393e-26,7.52407e-26,7.2847e-26,7.05529e-26,6.83532e-26,6.62432e-26,6.42184e-26,6.22746e-26,6.04078e-26,5.86142e-26,5.68903e-26,5.52328e-26,5.36386e-26,5.21046e-26,5.06281e-26,4.92065e-26,4.78372e-26,4.65178e-26,4.52462e-26,4.40201e-26,4.28377e-26,4.16969e-26,4.0596e-26,3.95332e-26,3.8507e-26,3.75158e-26,3.65581e-26,3.56325e-26,3.47377e-26,3.38724e-26,3.30355e-26,3.22257e-26,3.14421e-26,3.06835e-26,2.9949e-26,2.92377e-26,2.85485e-26,2.78808e-26,2.72336e-26,2.66063e-26,2.59979e-26,2.54079e-26,2.48355e-26,2.42801e-26,2.37411e-26,2.32179e-26,2.27099e-26,2.22165e-26,2.17373e-26,
Compt [cm-2],3.50562e-25,9.34378e-25,1.47705e-24,1.94105e-24,2.32927e-24,2.6521e-24,2.92016e-24,3.14271e-24,3.32739e-24,3.48049e-24,3.6071e-24,3.71141e-24,3.79683e-24,3.86619e-24,3.92185e-24,3.97134e-24,4.01649e-24,4.05761e-24,4.09497e-24,4.12884e-24,4.15946e-24,4.18707e-24,4.21188e-24,4.23409e-24,4.25388e-24,4.27144e-24,4.28691e-24,4.30046e-24,4.31222e-24,4.32231e-24,4.33087e-24,4.338e-24,4.3438e-24,4.34838e-24,4.35182e-24,4.35421e-24,4.35562e-24,4.35613e-24,4.3558e-24,4.3547e-24,4.35288e-24,4.3504e-24,4.3473e-24,4.34364e-24,4.33945e-24,4.33478e-24,4.32966e-24,4.32413e-24,4.31822e-24,4.31197e-24,4.30539e-24,4.29852e-24,4.29138e-24,4.28399e-24,4.27637e-24,4.26855e-24,4.26053e-24,4.25235e-24,4.24401e-24,4.23553e-24,4.22692e-24,4.21819e-24,4.20937e-24,4.20045e-24,4.19145e-24,4.18238e-24,4.17324e-24,4.16405e-24,4.15482e-24,4.14554e-24,4.13624e-24,4.1269e-24,4.11755e-24,4.10818e-24,4.0988e-24,4.08942e-24,4.08004e-24,4.07065e-24,4.06128e-24,4.05192e-24,4.04257e-24,4.03323e-24,4.02392e-24,4.01463e-24,4.00536e-24,3.99612e-24,3.98691e-24,3.97773e-24,3.96859e-24,3.95947e-24,3.9504e-24,3.94136e-24,3.93235e-24,3.92339e-24,3.91447e-24,3.90558e-24,3.89674e-24,3.88795e-24,3.87919e-24,3.87048e-24,3.86182e-24,3.8532e-24,3.84463e-24,3.8361e-24,3.82761e-24,3.81918e-24,3.81079e-24,3.80245e-24,3.79415e-24,3.7859e-24,3.7777e-24,3.76955e-24,3.76144e-24,3.75338e-24,3.74537e-24,3.73741e-24,3.72949e-24,3.72162e-24,3.71379e-24,3.70602e-24,3.69828e-24,3.6906e-24,3.68296e-24,3.67537e-24,3.66782e-24,3.66032e-24,3.65286e-24,3.64545e-24,3.63808e-24,3.63076e-24,3.62348e-24,3.61625e-24,3.60906e-24,3.60191e-24,3.59481e-24,3.58774e-24,3.58073e-24,3.57375e-24,3.56681e-24,3.55992e-24,3.55307e-24,3.54625e-24,3.53948e-24,3.53275e-24,3.52606e-24,3.51941e-24,3.5128e-24,3.50622e-24,3.49969e-24,
Rayl [cm-2],4.48785e-23,3.68873e-23,2.84177e-23,2.18315e-23,1.70466e-23,1.36366e-23,1.11739e-23,9.33766e-24,7.98626e-24,6.89383e-24,6.04858e-24,5.3776e-24,4.83355e-24,4.38452e-24,3.98251e-24,3.64029e-24,3.34502e-24,3.07863e-24,2.84831e-24,2.64286e-24,2.45639e-24,2.29214e-24,2.14102e-24,2.00342e-24,1.88055e-24,1.76478e-24,1.65972e-24,1.5649e-24,1.47501e-24,1.39279e-24,1.31794e-24,1.24958e-24,1.18696e-24,1.12943e-24,1.07451e-24,1.02347e-24,9.76305e-25,9.32623e-25,8.9208e-25,8.54187e-25,8.1738e-25,7.83069e-25,7.51028e-25,7.21058e-25,6.9298e-25,6.66636e-25,6.41883e-25,6.18593e-25,5.96508e-25,5.74984e-25,5.54672e-25,5.35482e-25,5.17332e-25,5.00146e-25,4.83858e-25,4.68403e-25,4.53725e-25,4.39773e-25,4.26174e-25,4.1309e-25,4.00628e-25,3.88749e-25,3.77416e-25,3.66596e-25,3.56258e-25,3.46373e-25,3.36916e-25,3.2786e-25,3.19185e-25,3.10868e-25,3.02889e-25,2.95073e-25,2.87495e-25,2.80216e-25,2.7322e-25,2.66493e-25,2.60021e-25,2.53792e-25,2.47792e-25,2.42011e-25,2.36439e-25,2.31064e-25,2.25879e-25,2.20873e-25,2.16039e-25,2.11369e-25,2.06855e-25,2.02418e-25,1.98083e-25,1.9389e-25,1.89833e-25,1.85905e-25,1.82101e-25,1.78417e-25,1.74846e-25,1.71384e-25,1.68028e-25,1.64772e-25,1.61612e-25,1.58546e-25,1.55568e-25,1.52677e-25,1.49867e-25,1.47137e-25,1.44483e-25,1.41903e-25,1.39394e-25,1.36953e-25,1.34563e-25,1.32194e-25,1.29889e-25,1.27644e-25,1.25458e-25,1.23329e-25,1.21255e-25,1.19233e-25,1.17263e-25,1.15342e-25,1.13469e-25,1.11642e-25,1.09859e-25,1.0812e-25,1.06422e-25,1.04765e-25,1.03148e-25,1.01568e-25,1.00025e-25,9.85175e-26,9.70446e-26,9.56052e-26,9.41983e-26,9.28229e-26,9.14781e-26,9.01629e-26,8.88765e-26,8.7618e-26,8.63867e-26,8.51817e-26,8.40024e-26,8.28479e-26,8.17176e-26,8.06108e-26,7.95147e-26,7.84318e-26,7.73712e-26,7.63321e-26,7.5314e-26,7.43164e-26,7.33387e-26,
