Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],2.20062e-20,2.81804e-21,8.12272e-22,3.30255e-22,1.62977e-22,9.11298e-23,5.55373e-23,3.6048e-23,2.45537e-23,1.73746e-23,1.26816e-23,9.49751e-24,7.26948e-24,5.66926e-24,4.49403e-24,3.61408e-24,2.944e-24,2.42609e-24,2.02045e-24,1.69828e-24,1.44075e-24,1.23209e-24,1.06135e-24,9.20343e-25,8.02927e-25,7.04402e-25,6.21147e-25,5.50337e-25,4.89748e-25,4.37615e-25,3.92525e-25,3.53335e-25,3.19119e-25,2.89118e-25,2.62708e-25,2.39371e-25,2.18677e-25,2.00265e-25,1.8383e-25,1.69118e-25,1.55909e-25,1.44018e-25,1.33287e-25,1.23577e-25,1.14773e-25,1.0677e-25,9.94817e-26,9.28299e-26,8.67474e-26,8.1175e-26,7.6061e-26,7.13595e-26,6.70302e-26,6.30373e-26,5.93491e-26,5.59372e-26,5.27767e-26,4.98449e-26,4.71217e-26,4.45891e-26,4.2231e-26,4.00326e-26,3.79808e-26,3.60637e-26,3.42706e-26,3.25917e-26,3.10182e-26,2.95419e-26,2.81557e-26,2.68528e-26,2.56271e-26,2.4473e-26,2.33855e-26,2.23599e-26,2.13918e-26,2.04774e-26,1.96131e-26,1.87954e-26,1.80214e-26,1.72881e-26,1.65931e-26,1.59338e-26,1.5308e-26,1.47136e-26,1.41488e-26,1.36117e-26,1.31007e-26,1.26142e-26,1.21508e-26,1.17091e-26,1.1288e-26,1.08863e-26,1.05028e-26,1.01366e-26,9.78666e-27,9.45219e-27,9.13231e-27,8.82627e-27,8.53332e-27,7.90977e-27,7.64876e-27,7.39898e-27,7.15984e-27,6.93078e-27,6.71128e-27,6.50085e-27,6.29903e-27,6.10539e-27,5.91953e-27,5.74106e-27,5.56961e-27,5.40486e-27,5.24648e-27,5.09417e-27,4.94765e-27,4.80663e-27,4.67088e-27,4.54014e-27,4.4142e-27,4.29283e-27,4.17583e-27,4.06301e-27,3.95418e-27,3.84918e-27,3.74783e-27,3.64998e-27,3.55548e-27,3.46419e-27,3.37598e-27,3.29072e-27,3.20828e-27,3.12856e-27,3.05143e-27,2.97681e-27,2.90458e-27,2.83466e-27,2.76695e-27,2.70137e-27,2.63783e-27,2.57626e-27,2.51658e-27,2.45872e-27,2.40261e-27,2.34819e-27,2.29539e-27,2.24416e-27,2.19443e-27,2.14615e-27,2.09928e-27,
Compt [cm-2],1.9902e-25,5.69405e-25,9.27334e-25,1.23821e-24,1.49987e-24,1.71756e-24,1.89778e-24,2.04653e-24,2.16899e-24,2.26944e-24,2.35143e-24,2.41789e-24,2.47124e-24,2.51346e-24,2.54624e-24,2.57476e-24,2.60065e-24,2.62409e-24,2.64525e-24,2.6643e-24,2.68138e-24,2.69664e-24,2.71022e-24,2.72223e-24,2.73279e-24,2.742e-24,2.74998e-24,2.7568e-24,2.76255e-24,2.76731e-24,2.77117e-24,2.77417e-24,2.77639e-24,2.77789e-24,2.77873e-24,2.77894e-24,2.77858e-24,2.7777e-24,2.77632e-24,2.7745e-24,2.77226e-24,2.76965e-24,2.76667e-24,2.76338e-24,2.75979e-24,2.75592e-24,2.7518e-24,2.74745e-24,2.74289e-24,2.73813e-24,2.7332e-24,2.7281e-24,2.72286e-24,2.71749e-24,2.71199e-24,2.70638e-24,2.70068e-24,2.69488e-24,2.68901e-24,2.68306e-24,2.67705e-24,2.67099e-24,2.66487e-24,2.65872e-24,2.65252e-24,2.6463e-24,2.64005e-24,2.63378e-24,2.62749e-24,2.6212e-24,2.61489e-24,2.60858e-24,2.60226e-24,2.59595e-24,2.58964e-24,2.58334e-24,2.57705e-24,2.57077e-24,2.56451e-24,2.55826e-24,2.55203e-24,2.54581e-24,2.53962e-24,2.53345e-24,2.5273e-24,2.52118e-24,2.51508e-24,2.50901e-24,2.50296e-24,2.49695e-24,2.49096e-24,2.485e-24,2.47907e-24,2.47318e-24,2.46731e-24,2.46148e-24,2.45567e-24,2.4499e-24,2.44416e-24,2.43846e-24,2.43279e-24,2.42715e-24,2.42154e-24,2.41597e-24,2.41043e-24,2.40492e-24,2.39945e-24,2.39401e-24,2.38861e-24,2.38323e-24,2.3779e-24,2.37259e-24,2.36732e-24,2.36208e-24,2.35687e-24,2.3517e-24,2.34656e-24,2.34145e-24,2.33638e-24,2.33134e-24,2.32633e-24,2.32135e-24,2.3164e-24,2.31149e-24,2.3066e-24,2.30175e-24,2.29693e-24,2.29214e-24,2.28738e-24,2.28265e-24,2.27795e-24,2.27328e-24,2.26863e-24,2.26402e-24,2.25944e-24,2.25489e-24,2.25036e-24,2.24587e-24,2.2414e-24,2.23696e-24,2.23255e-24,2.22816e-24,2.22381e-24,2.21948e-24,2.21517e-24,2.2109e-24,2.20664e-24,2.20242e-24,2.19822e-24,
Rayl [cm-2],1.61641e-23,1.11217e-23,7.82132e-24,5.84106e-24,4.62681e-24,3.82888e-24,3.26408e-24,2.84207e-24,2.50519e-24,2.22534e-24,1.98949e-24,1.78707e-24,1.6115e-24,1.45954e-24,1.32612e-24,1.20733e-24,1.10404e-24,1.01271e-24,9.31281e-25,8.59085e-25,7.95593e-25,7.3723e-25,6.85788e-25,6.39979e-25,5.97346e-25,5.59253e-25,5.2506e-25,4.93723e-25,4.64564e-25,4.38131e-25,4.14086e-25,3.92145e-25,3.71805e-25,3.52588e-25,3.34929e-25,3.18661e-25,3.03638e-25,2.89734e-25,2.76624e-25,2.64183e-25,2.52612e-25,2.4183e-25,2.31767e-25,2.22358e-25,2.13547e-25,2.05235e-25,1.97203e-25,1.89656e-25,1.82554e-25,1.75862e-25,1.6955e-25,1.63589e-25,1.57953e-25,1.52618e-25,1.47526e-25,1.42581e-25,1.3789e-25,1.33435e-25,1.292e-25,1.25171e-25,1.21335e-25,1.17678e-25,1.14191e-25,1.10863e-25,1.07684e-25,1.04646e-25,1.01724e-25,9.88642e-26,9.61259e-26,9.35025e-26,9.09878e-26,8.85758e-26,8.62608e-26,8.40378e-26,8.19019e-26,7.98486e-26,7.78736e-26,7.5973e-26,7.41431e-26,7.23804e-26,7.06815e-26,6.90435e-26,6.74635e-26,6.59386e-26,6.4447e-26,6.29917e-26,6.15859e-26,6.02274e-26,5.8914e-26,5.76438e-26,5.6415e-26,5.52256e-26,5.40741e-26,5.29588e-26,5.18782e-26,5.08309e-26,4.98156e-26,4.88309e-26,4.78757e-26,4.69486e-26,4.60488e-26,4.5175e-26,4.43263e-26,4.35018e-26,4.27004e-26,4.19214e-26,4.1164e-26,4.04273e-26,3.97105e-26,3.9013e-26,3.83341e-26,3.76666e-26,3.70111e-26,3.63727e-26,3.57509e-26,3.51449e-26,3.45544e-26,3.39788e-26,3.34176e-26,3.28702e-26,3.23363e-26,3.18155e-26,3.13072e-26,3.08111e-26,3.03269e-26,2.9854e-26,2.93922e-26,2.89412e-26,2.85006e-26,2.807e-26,2.76492e-26,2.72379e-26,2.68358e-26,2.64426e-26,2.60581e-26,2.5682e-26,2.5314e-26,2.4954e-26,2.46017e-26,2.42569e-26,2.39193e-26,2.35888e-26,2.32652e-26,2.29483e-26,2.26378e-26,2.23337e-26,2.20358e-26,2.17438e-26,2.14577e-26,
