Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],1.12222e-23,1.10484e-24,2.77996e-25,1.03536e-25,4.83449e-26,2.60104e-26,1.54097e-26,9.78886e-27,6.55552e-27,4.57573e-27,3.30214e-27,2.44939e-27,1.85922e-27,1.43924e-27,1.13322e-27,9.05611e-28,7.3329e-28,6.00765e-28,4.9742e-28,4.16093e-28,3.50965e-28,2.98485e-28,2.55761e-28,2.20655e-28,1.91561e-28,1.67262e-28,1.4682e-28,1.29508e-28,1.14758e-28,1.02117e-28,9.12264e-29,8.17972e-29,7.35952e-29,6.64296e-29,6.01437e-29,5.46083e-29,4.9716e-29,4.53773e-29,4.15171e-29,3.80721e-29,3.49885e-29,3.2221e-29,2.97305e-29,2.74837e-29,2.5452e-29,2.36105e-29,2.19378e-29,2.04153e-29,1.90268e-29,1.77579e-29,1.65964e-29,1.55313e-29,1.45528e-29,1.36526e-29,1.28231e-29,1.20575e-29,1.13499e-29,1.06951e-29,1.00882e-29,9.5251e-30,9.00189e-30,8.5152e-30,8.06194e-30,7.63934e-30,7.2449e-30,6.87635e-30,6.53163e-30,6.20889e-30,5.90644e-30,5.62272e-30,5.35635e-30,5.10604e-30,4.87062e-30,4.64902e-30,4.44025e-30,4.24343e-30,4.05773e-30,3.88238e-30,3.7167e-30,3.56003e-30,3.41178e-30,3.27142e-30,3.13842e-30,3.01233e-30,2.89271e-30,2.77915e-30,2.6713e-30,2.5688e-30,2.47133e-30,2.37859e-30,2.29031e-30,2.20623e-30,2.1261e-30,2.04971e-30,1.97684e-30,1.90729e-30,1.84088e-30,1.77745e-30,1.71683e-30,1.65803e-30,1.60262e-30,1.54961e-30,1.49888e-30,1.45031e-30,1.40379e-30,1.3592e-30,1.31646e-30,1.27546e-30,1.23612e-30,1.19836e-30,1.16211e-30,1.12728e-30,1.09381e-30,1.06163e-30,1.03069e-30,1.00092e-30,9.72272e-31,9.44693e-31,9.18134e-31,8.92548e-31,8.67893e-31,8.44126e-31,8.21209e-31,7.99103e-31,7.77775e-31,7.5719e-31,7.37316e-31,7.18124e-31,6.99585e-31,6.81671e-31,6.64357e-31,6.47618e-31,6.3143e-31,6.15772e-31,6.00622e-31,5.85959e-31,5.71766e-31,5.58022e-31,5.44711e-31,5.31816e-31,5.19321e-31,5.0721e-31,4.9547e-31,4.84086e-31,4.73045e-31,4.62334e-31,4.51942e-31,4.41856e-31,4.32065e-31,
Compt [cm-2],8.99085e-26,1.73662e-25,2.38743e-25,2.90411e-25,3.3234e-25,3.66963e-25,3.95942e-25,4.20459e-25,4.41378e-25,4.59348e-25,4.74868e-25,4.88332e-25,5.0005e-25,5.10275e-25,5.19212e-25,5.27032e-25,5.33877e-25,5.39867e-25,5.45102e-25,5.49671e-25,5.53646e-25,5.57092e-25,5.60065e-25,5.62614e-25,5.64782e-25,5.66605e-25,5.68118e-25,5.69349e-25,5.70325e-25,5.71069e-25,5.71602e-25,5.71942e-25,5.72108e-25,5.72113e-25,5.71971e-25,5.71696e-25,5.71298e-25,5.70787e-25,5.70173e-25,5.69464e-25,5.6871e-25,5.67889e-25,5.67007e-25,5.66068e-25,5.65077e-25,5.6404e-25,5.6296e-25,5.61841e-25,5.60687e-25,5.59501e-25,5.58286e-25,5.57044e-25,5.5578e-25,5.54495e-25,5.53191e-25,5.51871e-25,5.50536e-25,5.49188e-25,5.4783e-25,5.46462e-25,5.45086e-25,5.43703e-25,5.42315e-25,5.40922e-25,5.39527e-25,5.38129e-25,5.3673e-25,5.3533e-25,5.3393e-25,5.32532e-25,5.31135e-25,5.29741e-25,5.28349e-25,5.2696e-25,5.25576e-25,5.24195e-25,5.2282e-25,5.21449e-25,5.20083e-25,5.18724e-25,5.1737e-25,5.16022e-25,5.14681e-25,5.13346e-25,5.12018e-25,5.10698e-25,5.09384e-25,5.08077e-25,5.06778e-25,5.05487e-25,5.04203e-25,5.02927e-25,5.01658e-25,5.00397e-25,4.99145e-25,4.979e-25,4.96663e-25,4.95433e-25,4.94212e-25,4.92999e-25,4.91794e-25,4.90597e-25,4.89408e-25,4.88226e-25,4.87053e-25,4.85888e-25,4.8473e-25,4.83581e-25,4.82439e-25,4.81305e-25,4.80179e-25,4.7906e-25,4.77949e-25,4.76846e-25,4.75751e-25,4.74663e-25,4.73582e-25,4.72509e-25,4.71443e-25,4.70385e-25,4.69334e-25,4.6829e-25,4.67253e-25,4.66224e-25,4.65201e-25,4.64186e-25,4.63177e-25,4.62175e-25,4.61181e-25,4.60192e-25,4.59211e-25,4.58236e-25,4.57268e-25,4.56306e-25,4.55351e-25,4.54402e-25,4.5346e-25,4.52523e-25,4.51593e-25,4.50669e-25,4.49752e-25,4.4884e-25,4.47934e-25,4.47034e-25,4.4614e-25,4.45252e-25,4.4437e-25,4.43493e-25,4.42622e-25,
Rayl [cm-2],5.86031e-25,4.13976e-25,2.76073e-25,1.88048e-25,1.3405e-25,9.9742e-26,7.70207e-26,6.1174e-26,4.97382e-26,4.11738e-26,3.46115e-26,2.95088e-26,2.54028e-26,2.21058e-26,1.94249e-26,1.71632e-26,1.52835e-26,1.3704e-26,1.23504e-26,1.11758e-26,1.01636e-26,9.28507e-27,8.51758e-27,7.84309e-27,7.24183e-27,6.70265e-27,6.22201e-27,5.7917e-27,5.40493e-27,5.05599e-27,4.74011e-27,4.45322e-27,4.19187e-27,3.95311e-27,3.7344e-27,3.53099e-27,3.34367e-27,3.17091e-27,3.01125e-27,2.86339e-27,2.7262e-27,2.59867e-27,2.47992e-27,2.36915e-27,2.26568e-27,2.16886e-27,2.07814e-27,1.99303e-27,1.91306e-27,1.83783e-27,1.76697e-27,1.70015e-27,1.63706e-27,1.57744e-27,1.52104e-27,1.46762e-27,1.41698e-27,1.36893e-27,1.3233e-27,1.27992e-27,1.23864e-27,1.19903e-27,1.1613e-27,1.12533e-27,1.091e-27,1.05822e-27,1.02689e-27,9.96937e-28,9.68276e-28,9.40834e-28,9.14543e-28,8.8934e-28,8.65165e-28,8.41963e-28,8.19682e-28,7.98275e-28,7.77696e-28,7.57904e-28,7.38858e-28,7.20521e-28,7.0286e-28,6.8584e-28,6.69431e-28,6.53605e-28,6.38334e-28,6.23592e-28,6.09355e-28,5.95601e-28,5.82308e-28,5.69455e-28,5.57023e-28,5.44995e-28,5.33352e-28,5.22078e-28,5.11159e-28,5.00579e-28,4.90324e-28,4.80382e-28,4.70739e-28,4.61383e-28,4.52305e-28,4.43491e-28,4.34933e-28,4.26621e-28,4.18545e-28,4.10696e-28,4.03067e-28,3.95648e-28,3.88432e-28,3.81412e-28,3.74581e-28,3.67932e-28,3.61458e-28,3.55154e-28,3.49014e-28,3.43032e-28,3.37202e-28,3.3152e-28,3.2598e-28,3.20579e-28,3.1531e-28,3.10171e-28,3.05156e-28,3.00262e-28,2.95485e-28,2.90821e-28,2.86267e-28,2.8182e-28,2.77475e-28,2.7323e-28,2.69081e-28,2.65027e-28,2.61064e-28,2.57189e-28,2.53399e-28,2.49693e-28,2.46068e-28,2.42522e-28,2.39051e-28,2.35655e-28,2.3233e-28,2.29076e-28,2.25889e-28,2.22769e-28,2.19712e-28,2.16719e-28,2.13786e-28,2.10913e-28,2.08097e-28,
