Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],7.77858e-20,1.11586e-20,3.38253e-21,1.41946e-21,7.1567e-22,4.06485e-22,2.50811e-22,1.6449e-22,1.13054e-22,8.06475e-23,5.92998e-23,4.4716e-23,3.44464e-23,2.7027e-23,2.15477e-23,1.74232e-23,1.42664e-23,1.18143e-23,9.8845e-24,8.35042e-24,7.11273e-24,6.10521e-24,5.27709e-24,4.59039e-24,4.01637e-24,3.53298e-24,3.12313e-24,2.77345e-24,2.47335e-24,2.21443e-24,1.98989e-24,1.79426e-24,1.62306e-24,1.47263e-24,1.33993e-24,1.22245e-24,1.11807e-24,1.02505e-24,9.41885e-25,8.67318e-25,8.00276e-25,7.3984e-25,6.85225e-25,6.35752e-25,5.90835e-25,5.49967e-25,5.12706e-25,4.78666e-25,4.47511e-25,4.18944e-25,3.92705e-25,3.68563e-25,3.46316e-25,3.25784e-25,3.06805e-25,2.89238e-25,2.72955e-25,2.57843e-25,2.43798e-25,2.30731e-25,2.18557e-25,2.07203e-25,1.96603e-25,1.86694e-25,1.77424e-25,1.6874e-25,1.606e-25,1.5296e-25,1.45785e-25,1.39039e-25,1.32691e-25,1.26714e-25,1.2108e-25,1.15765e-25,1.10749e-25,1.0601e-25,1.01529e-25,9.72907e-26,9.32778e-26,8.94762e-26,8.58723e-26,8.24537e-26,7.92087e-26,7.61267e-26,7.31977e-26,7.04126e-26,6.77627e-26,6.52401e-26,6.28374e-26,6.05476e-26,5.83643e-26,5.62815e-26,5.42936e-26,5.23953e-26,5.05818e-26,4.88484e-26,4.71909e-26,4.56052e-26,4.40876e-26,4.19414e-26,4.05738e-26,3.92644e-26,3.80103e-26,3.68084e-26,3.56562e-26,3.45511e-26,3.34908e-26,3.2473e-26,3.14957e-26,3.05568e-26,2.96546e-26,2.87872e-26,2.7953e-26,2.71505e-26,2.63781e-26,2.56346e-26,2.49184e-26,2.42285e-26,2.35637e-26,2.29227e-26,2.23046e-26,2.17084e-26,2.1133e-26,2.05777e-26,2.00415e-26,1.95237e-26,1.90234e-26,1.854e-26,1.80727e-26,1.76208e-26,1.71838e-26,1.67611e-26,1.6352e-26,1.5956e-26,1.55727e-26,1.52015e-26,1.48419e-26,1.44935e-26,1.41558e-26,1.38286e-26,1.35112e-26,1.32035e-26,1.2905e-26,1.26154e-26,1.23343e-26,1.20616e-26,1.17967e-26,1.15395e-26,1.12898e-26,
Compt [cm-2],2.99944e-25,8.15085e-25,1.29884e-24,1.71405e-24,2.06184e-24,2.35096e-24,2.59071e-24,2.78933e-24,2.95371e-24,3.0895e-24,3.20133e-24,3.29299e-24,3.36759e-24,3.4277e-24,3.47545e-24,3.51765e-24,3.55609e-24,3.59103e-24,3.62272e-24,3.65138e-24,3.67723e-24,3.70047e-24,3.72129e-24,3.73987e-24,3.75635e-24,3.77091e-24,3.78367e-24,3.79476e-24,3.80432e-24,3.81244e-24,3.81924e-24,3.82481e-24,3.82924e-24,3.83262e-24,3.83503e-24,3.83653e-24,3.83719e-24,3.83708e-24,3.83626e-24,3.83477e-24,3.83267e-24,3.83001e-24,3.82682e-24,3.82315e-24,3.81904e-24,3.81451e-24,3.80961e-24,3.80436e-24,3.79879e-24,3.79293e-24,3.78679e-24,3.78041e-24,3.7738e-24,3.76699e-24,3.75998e-24,3.75281e-24,3.74547e-24,3.738e-24,3.73039e-24,3.72268e-24,3.71485e-24,3.70694e-24,3.69894e-24,3.69086e-24,3.68273e-24,3.67453e-24,3.66629e-24,3.65801e-24,3.64969e-24,3.64134e-24,3.63297e-24,3.62459e-24,3.61619e-24,3.60778e-24,3.59937e-24,3.59095e-24,3.58255e-24,3.57414e-24,3.56575e-24,3.55738e-24,3.54902e-24,3.54068e-24,3.53235e-24,3.52406e-24,3.51578e-24,3.50754e-24,3.49932e-24,3.49113e-24,3.48298e-24,3.47486e-24,3.46677e-24,3.45872e-24,3.4507e-24,3.44272e-24,3.43478e-24,3.42688e-24,3.41901e-24,3.41119e-24,3.40341e-24,3.39566e-24,3.38796e-24,3.3803e-24,3.37269e-24,3.36511e-24,3.35758e-24,3.35009e-24,3.34265e-24,3.33524e-24,3.32788e-24,3.32056e-24,3.31329e-24,3.30606e-24,3.29887e-24,3.29172e-24,3.28462e-24,3.27756e-24,3.27055e-24,3.26357e-24,3.25664e-24,3.24975e-24,3.2429e-24,3.2361e-24,3.22933e-24,3.22261e-24,3.21593e-24,3.20929e-24,3.20269e-24,3.19613e-24,3.18962e-24,3.18314e-24,3.1767e-24,3.1703e-24,3.16394e-24,3.15762e-24,3.15134e-24,3.14509e-24,3.13889e-24,3.13272e-24,3.12659e-24,3.1205e-24,3.11444e-24,3.10842e-24,3.10244e-24,3.09649e-24,3.09058e-24,3.0847e-24,3.07886e-24,3.07306e-24,3.06729e-24,
Rayl [cm-2],3.45225e-23,2.64253e-23,1.96458e-23,1.47848e-23,1.14519e-23,9.14389e-24,7.51862e-24,6.34467e-24,5.44673e-24,4.76311e-24,4.22675e-24,3.79238e-24,3.41365e-24,3.10057e-24,2.82465e-24,2.58921e-24,2.37676e-24,2.19181e-24,2.02437e-24,1.87863e-24,1.74413e-24,1.62539e-24,1.51736e-24,1.41882e-24,1.33063e-24,1.24756e-24,1.17292e-24,1.10499e-24,1.04093e-24,9.82815e-25,9.29912e-25,8.81599e-25,8.37023e-25,7.94596e-25,7.55582e-25,7.19617e-25,6.86383e-25,6.55605e-25,6.27041e-25,5.99763e-25,5.73957e-25,5.49899e-25,5.27433e-25,5.06418e-25,4.86729e-25,4.68254e-25,4.50879e-25,4.33915e-25,4.17946e-25,4.02895e-25,3.88691e-25,3.75272e-25,3.62579e-25,3.5056e-25,3.39167e-25,3.28357e-25,3.17797e-25,3.07694e-25,2.98087e-25,2.88945e-25,2.80237e-25,2.71936e-25,2.64016e-25,2.56455e-25,2.49231e-25,2.42323e-25,2.35714e-25,2.29386e-25,2.23264e-25,2.17268e-25,2.11519e-25,2.06003e-25,2.00708e-25,1.95622e-25,1.90734e-25,1.86034e-25,1.81513e-25,1.7716e-25,1.72968e-25,1.6893e-25,1.65036e-25,1.61282e-25,1.57659e-25,1.54162e-25,1.50701e-25,1.4735e-25,1.44113e-25,1.40983e-25,1.37958e-25,1.35031e-25,1.32198e-25,1.29457e-25,1.26802e-25,1.2423e-25,1.21738e-25,1.19322e-25,1.16979e-25,1.14706e-25,1.12502e-25,1.10361e-25,1.08284e-25,1.06266e-25,1.04305e-25,1.024e-25,1.00548e-25,9.87476e-26,9.69547e-26,9.52109e-26,9.35145e-26,9.18638e-26,9.02572e-26,8.8693e-26,8.71698e-26,8.56861e-26,8.42407e-26,8.28321e-26,8.14592e-26,8.01208e-26,7.88156e-26,7.75426e-26,7.63008e-26,7.50891e-26,7.39066e-26,7.27522e-26,7.16253e-26,7.05247e-26,6.94499e-26,6.83998e-26,6.73739e-26,6.63713e-26,6.53914e-26,6.44334e-26,6.34967e-26,6.25807e-26,6.16848e-26,6.08084e-26,5.99509e-26,5.91118e-26,5.82905e-26,5.74866e-26,5.66984e-26,5.5913e-26,5.5144e-26,5.43909e-26,5.36532e-26,5.29306e-26,5.22226e-26,5.15289e-26,5.0849e-26,
