Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],2.54797e-19,4.18762e-20,1.35822e-20,5.96689e-21,3.10564e-21,1.80634e-21,1.13625e-21,7.57575e-22,5.28321e-22,3.81864e-22,2.84177e-22,2.16674e-22,1.68629e-22,1.33565e-22,1.07419e-22,8.75552e-23,7.22146e-23,6.01945e-23,5.06541e-23,4.30037e-23,3.67905e-23,3.17049e-23,2.75036e-23,2.40036e-23,2.10652e-23,1.8581e-23,1.64669e-23,1.4657e-23,1.30989e-23,1.17505e-23,1.0578e-23,9.55381e-24,8.65541e-24,7.86421e-24,7.16482e-24,6.54441e-24,5.99224e-24,5.49926e-24,5.05783e-24,4.66143e-24,4.30454e-24,3.98239e-24,3.69091e-24,3.42656e-24,3.1863e-24,2.96748e-24,2.76777e-24,2.58517e-24,2.41791e-24,2.26442e-24,2.12333e-24,1.99343e-24,1.87366e-24,1.76304e-24,1.66075e-24,1.56601e-24,1.47815e-24,1.39657e-24,1.32073e-24,1.25014e-24,1.18435e-24,1.12298e-24,1.06566e-24,1.01207e-24,9.6191e-25,9.14923e-25,8.70863e-25,8.2951e-25,7.90661e-25,7.54134e-25,7.1976e-25,6.87386e-25,6.56871e-25,6.28086e-25,6.00912e-25,5.7524e-25,5.5097e-25,5.28008e-25,5.06271e-25,4.85677e-25,4.66156e-25,4.47639e-25,4.30064e-25,4.13373e-25,3.97512e-25,3.82431e-25,3.68083e-25,3.54427e-25,3.41421e-25,3.29027e-25,3.17212e-25,3.05942e-25,2.95188e-25,2.84919e-25,2.75111e-25,2.65738e-25,2.56776e-25,2.48205e-25,2.40002e-25,2.32172e-25,2.24654e-25,2.17456e-25,2.1056e-25,2.03951e-25,1.97615e-25,1.91537e-25,1.85705e-25,1.80107e-25,1.74731e-25,1.69565e-25,1.64601e-25,1.59828e-25,1.55237e-25,1.5082e-25,1.46568e-25,1.42475e-25,1.38532e-25,1.34733e-25,1.31071e-25,1.27541e-25,1.24136e-25,1.20851e-25,1.17681e-25,1.14621e-25,1.11665e-25,1.08811e-25,1.06053e-25,1.03387e-25,1.0081e-25,9.83183e-26,9.59078e-26,9.35755e-26,9.13182e-26,8.91331e-26,8.70172e-26,8.49679e-26,8.29825e-26,8.10586e-26,7.91939e-26,7.7386e-26,7.56329e-26,7.39325e-26,7.22828e-26,7.0682e-26,6.91283e-26,6.76199e-26,6.61552e-26,6.47327e-26,6.33509e-26,
Compt [cm-2],4.49899e-25,1.16304e-24,1.81595e-24,2.37143e-24,2.83588e-24,3.22275e-24,3.54503e-24,3.81379e-24,4.03808e-24,4.22527e-24,4.38132e-24,4.5111e-24,4.61861e-24,4.70712e-24,4.77938e-24,4.84431e-24,4.90372e-24,4.95801e-24,5.00751e-24,5.05256e-24,5.09348e-24,5.13054e-24,5.16403e-24,5.19419e-24,5.22126e-24,5.24545e-24,5.26698e-24,5.28603e-24,5.30277e-24,5.31738e-24,5.33e-24,5.34077e-24,5.34984e-24,5.35731e-24,5.36331e-24,5.36795e-24,5.37131e-24,5.3735e-24,5.37459e-24,5.37467e-24,5.37382e-24,5.37209e-24,5.36955e-24,5.36627e-24,5.3623e-24,5.35768e-24,5.35248e-24,5.34672e-24,5.34046e-24,5.33374e-24,5.32658e-24,5.31902e-24,5.3111e-24,5.30285e-24,5.29428e-24,5.28543e-24,5.27632e-24,5.26697e-24,5.2574e-24,5.24763e-24,5.23768e-24,5.22757e-24,5.21731e-24,5.20692e-24,5.19641e-24,5.18579e-24,5.17507e-24,5.16427e-24,5.15339e-24,5.14245e-24,5.13145e-24,5.1204e-24,5.10932e-24,5.0982e-24,5.08706e-24,5.07589e-24,5.06472e-24,5.05353e-24,5.04234e-24,5.03116e-24,5.01998e-24,5.0088e-24,4.99765e-24,4.98651e-24,4.97539e-24,4.96429e-24,4.95322e-24,4.94218e-24,4.93118e-24,4.9202e-24,4.90926e-24,4.89836e-24,4.8875e-24,4.87668e-24,4.8659e-24,4.85517e-24,4.84448e-24,4.83384e-24,4.82325e-24,4.8127e-24,4.80221e-24,4.79176e-24,4.78136e-24,4.77102e-24,4.76073e-24,4.75049e-24,4.7403e-24,4.73017e-24,4.72008e-24,4.71006e-24,4.70008e-24,4.69016e-24,4.6803e-24,4.67049e-24,4.66073e-24,4.65103e-24,4.64138e-24,4.63179e-24,4.62225e-24,4.61277e-24,4.60333e-24,4.59396e-24,4.58463e-24,4.57537e-24,4.56615e-24,4.55699e-24,4.54788e-24,4.53882e-24,4.52981e-24,4.52086e-24,4.51196e-24,4.50311e-24,4.49432e-24,4.48557e-24,4.47687e-24,4.46823e-24,4.45964e-24,4.45109e-24,4.4426e-24,4.43415e-24,4.42575e-24,4.4174e-24,4.4091e-24,4.40085e-24,4.39264e-24,4.38449e-24,4.37638e-24,4.36831e-24,4.36029e-24,
Rayl [cm-2],5.5204e-23,6.22252e-23,5.14367e-23,4.14622e-23,3.33748e-23,2.71145e-23,2.23457e-23,1.87043e-23,1.58823e-23,1.36633e-23,1.19258e-23,1.04895e-23,9.32113e-24,8.36761e-24,7.57703e-24,6.87265e-24,6.27565e-24,5.76521e-24,5.32464e-24,4.92518e-24,4.57086e-24,4.25915e-24,3.98117e-24,3.72221e-24,3.49111e-24,3.28387e-24,3.08754e-24,2.90979e-24,2.74879e-24,2.60243e-24,2.46492e-24,2.33727e-24,2.22033e-24,2.11291e-24,2.01396e-24,1.92259e-24,1.83616e-24,1.75369e-24,1.67715e-24,1.60598e-24,1.53763e-24,1.47275e-24,1.41218e-24,1.35553e-24,1.30246e-24,1.25268e-24,1.20591e-24,1.16191e-24,1.12046e-24,1.08136e-24,1.04444e-24,1.00953e-24,9.76491e-25,9.43912e-25,9.12784e-25,8.83257e-25,8.55223e-25,8.2858e-25,8.03236e-25,7.79108e-25,7.56118e-25,7.34193e-25,7.13161e-25,6.92517e-25,6.72795e-25,6.53942e-25,6.35905e-25,6.1864e-25,6.02101e-25,5.86247e-25,5.71042e-25,5.56449e-25,5.42436e-25,5.28973e-25,5.16029e-25,5.03579e-25,4.91598e-25,4.80062e-25,4.68948e-25,4.58237e-25,4.47805e-25,4.37523e-25,4.27604e-25,4.1803e-25,4.08786e-25,3.99856e-25,3.91226e-25,3.82883e-25,3.74814e-25,3.67008e-25,3.59452e-25,3.52136e-25,3.45049e-25,3.38183e-25,3.31529e-25,3.25076e-25,3.18818e-25,3.12746e-25,3.06854e-25,3.01133e-25,2.95578e-25,2.90181e-25,2.84791e-25,2.7955e-25,2.74457e-25,2.69505e-25,2.64689e-25,2.60004e-25,2.55446e-25,2.5101e-25,2.46692e-25,2.42487e-25,2.38392e-25,2.34403e-25,2.30515e-25,2.26727e-25,2.23033e-25,2.19432e-25,2.1592e-25,2.12493e-25,2.09151e-25,2.05888e-25,2.02704e-25,1.99595e-25,1.9656e-25,1.93595e-25,1.90699e-25,1.87869e-25,1.85104e-25,1.82401e-25,1.79723e-25,1.77078e-25,1.74493e-25,1.71964e-25,1.69491e-25,1.67072e-25,1.64706e-25,1.6239e-25,1.60123e-25,1.57905e-25,1.55733e-25,1.53606e-25,1.51523e-25,1.49483e-25,1.47485e-25,1.45528e-25,1.4361e-25,1.4173e-25,1.39887e-25,
