Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],8.95703e-21,1.09233e-21,2.9665e-22,1.15411e-22,5.55971e-23,3.06709e-23,1.85582e-23,1.20077e-23,8.17475e-24,5.79206e-24,4.23814e-24,3.1845e-24,2.44667e-24,1.91578e-24,1.52482e-24,1.2311e-24,1.00655e-24,8.32211e-25,6.95005e-25,5.85711e-25,4.97733e-25,4.26236e-25,3.67569e-25,3.19002e-25,2.78472e-25,2.44398e-25,2.15556e-25,1.9099e-25,1.69943e-25,1.51813e-25,1.36117e-25,1.22465e-25,1.10538e-25,1.00075e-25,9.08611e-26,8.27171e-26,7.5494e-26,6.90671e-26,6.33308e-26,5.81962e-26,5.35874e-26,4.94397e-26,4.56976e-26,4.23135e-26,3.92462e-26,3.646e-26,3.39239e-26,3.16109e-26,2.94974e-26,2.75627e-26,2.57886e-26,2.4159e-26,2.26598e-26,2.12783e-26,2.00036e-26,1.88256e-26,1.77355e-26,1.67254e-26,1.57882e-26,1.49177e-26,1.4108e-26,1.33541e-26,1.26514e-26,1.19956e-26,1.1383e-26,1.08102e-26,1.0274e-26,9.77172e-27,9.30065e-27,8.8585e-27,8.44314e-27,8.05261e-27,7.68512e-27,7.33905e-27,7.01288e-27,6.70525e-27,6.41487e-27,6.1406e-27,5.88135e-27,5.63614e-27,5.40405e-27,5.18423e-27,4.97592e-27,4.77837e-27,4.59093e-27,4.41297e-27,4.24392e-27,4.08324e-27,3.93043e-27,3.78502e-27,3.6466e-27,3.51475e-27,3.3891e-27,3.2693e-27,3.15502e-27,3.04595e-27,2.94182e-27,2.84235e-27,2.74729e-27,2.54891e-27,2.46469e-27,2.38409e-27,2.30692e-27,2.233e-27,2.16217e-27,2.09427e-27,2.02914e-27,1.96666e-27,1.90669e-27,1.8491e-27,1.79378e-27,1.74062e-27,1.68951e-27,1.64037e-27,1.59309e-27,1.54759e-27,1.50379e-27,1.46161e-27,1.42097e-27,1.38182e-27,1.34407e-27,1.30767e-27,1.27256e-27,1.23869e-27,1.206e-27,1.17443e-27,1.14395e-27,1.1145e-27,1.08605e-27,1.05855e-27,1.03196e-27,1.00624e-27,9.81372e-28,9.57305e-28,9.34013e-28,9.11464e-28,8.8963e-28,8.68483e-28,8.47995e-28,8.28143e-28,8.08901e-28,7.90246e-28,7.72157e-28,7.54612e-28,7.37592e-28,7.21076e-28,7.05047e-28,6.89487e-28,6.74378e-28,
Compt [cm-2],1.50012e-25,4.44839e-25,7.35724e-25,9.90722e-25,1.20628e-24,1.38592e-24,1.53462e-24,1.65719e-24,1.75784e-24,1.84011e-24,1.90695e-24,1.96079e-24,2.00367e-24,2.03726e-24,2.06296e-24,2.08512e-24,2.10519e-24,2.12331e-24,2.13964e-24,2.15429e-24,2.16739e-24,2.17905e-24,2.18938e-24,2.19847e-24,2.20642e-24,2.21332e-24,2.21923e-24,2.22423e-24,2.2284e-24,2.23179e-24,2.23446e-24,2.23646e-24,2.23786e-24,2.23868e-24,2.23899e-24,2.23881e-24,2.23818e-24,2.23714e-24,2.23573e-24,2.23396e-24,2.23187e-24,2.22948e-24,2.22682e-24,2.22391e-24,2.22077e-24,2.21742e-24,2.21387e-24,2.21014e-24,2.20626e-24,2.20222e-24,2.19805e-24,2.19376e-24,2.18935e-24,2.18484e-24,2.18025e-24,2.17556e-24,2.17081e-24,2.16599e-24,2.16111e-24,2.15617e-24,2.1512e-24,2.14618e-24,2.14112e-24,2.13604e-24,2.13093e-24,2.1258e-24,2.12065e-24,2.1155e-24,2.11033e-24,2.10515e-24,2.09997e-24,2.09479e-24,2.08961e-24,2.08444e-24,2.07927e-24,2.07411e-24,2.06897e-24,2.06383e-24,2.05871e-24,2.0536e-24,2.04851e-24,2.04343e-24,2.03838e-24,2.03334e-24,2.02833e-24,2.02333e-24,2.01836e-24,2.01341e-24,2.00849e-24,2.00359e-24,1.99871e-24,1.99386e-24,1.98904e-24,1.98424e-24,1.97947e-24,1.97472e-24,1.97001e-24,1.96532e-24,1.96065e-24,1.95602e-24,1.95141e-24,1.94683e-24,1.94228e-24,1.93775e-24,1.93326e-24,1.92879e-24,1.92435e-24,1.91994e-24,1.91555e-24,1.9112e-24,1.90687e-24,1.90257e-24,1.89829e-24,1.89405e-24,1.88983e-24,1.88564e-24,1.88148e-24,1.87734e-24,1.87323e-24,1.86915e-24,1.86509e-24,1.86106e-24,1.85705e-24,1.85308e-24,1.84912e-24,1.8452e-24,1.8413e-24,1.83742e-24,1.83357e-24,1.82974e-24,1.82594e-24,1.82217e-24,1.81841e-24,1.81469e-24,1.81098e-24,1.8073e-24,1.80364e-24,1.80001e-24,1.7964e-24,1.79281e-24,1.78925e-24,1.78571e-24,1.78219e-24,1.77869e-24,1.77521e-24,1.77176e-24,1.76833e-24,1.76492e-24,1.76153e-24,
Rayl [cm-2],9.67629e-24,6.44618e-24,4.61018e-24,3.58058e-24,2.94964e-24,2.51198e-24,2.17603e-24,1.90075e-24,1.66885e-24,1.47189e-24,1.30383e-24,1.15988e-24,1.03715e-24,9.32911e-25,8.43469e-25,7.6619e-25,6.96424e-25,6.35861e-25,5.81829e-25,5.35154e-25,4.92906e-25,4.55755e-25,4.23062e-25,3.938e-25,3.66894e-25,3.42883e-25,3.21357e-25,3.01915e-25,2.83634e-25,2.67078e-25,2.52034e-25,2.3832e-25,2.2578e-25,2.13838e-25,2.0285e-25,1.92736e-25,1.83405e-25,1.74776e-25,1.6678e-25,1.5922e-25,1.52065e-25,1.45403e-25,1.39189e-25,1.33383e-25,1.27951e-25,1.22859e-25,1.1808e-25,1.13504e-25,1.09146e-25,1.05043e-25,1.01175e-25,9.75238e-26,9.40734e-26,9.08094e-26,8.77185e-26,8.47884e-26,8.20081e-26,7.93675e-26,7.67922e-26,7.43397e-26,7.20054e-26,6.97818e-26,6.76619e-26,6.56395e-26,6.37085e-26,6.18635e-26,6.00995e-26,5.84117e-26,5.67959e-26,5.52478e-26,5.37638e-26,5.23404e-26,5.09742e-26,4.96623e-26,4.83736e-26,4.71345e-26,4.5943e-26,4.47967e-26,4.36933e-26,4.26308e-26,4.16071e-26,4.06203e-26,3.96688e-26,3.87507e-26,3.78647e-26,3.70091e-26,3.61826e-26,3.53839e-26,3.46118e-26,3.38651e-26,3.31427e-26,3.24435e-26,3.17665e-26,3.11108e-26,3.04756e-26,2.986e-26,2.92631e-26,2.86843e-26,2.81227e-26,2.75778e-26,2.70438e-26,2.65213e-26,2.6014e-26,2.55212e-26,2.50423e-26,2.45769e-26,2.41245e-26,2.36845e-26,2.32565e-26,2.28401e-26,2.24348e-26,2.20403e-26,2.16562e-26,2.12822e-26,2.09178e-26,2.05628e-26,2.02167e-26,1.98795e-26,1.95506e-26,1.92299e-26,1.89171e-26,1.86119e-26,1.83141e-26,1.80235e-26,1.77398e-26,1.74627e-26,1.71922e-26,1.69279e-26,1.66698e-26,1.64176e-26,1.6171e-26,1.59301e-26,1.56945e-26,1.54642e-26,1.52389e-26,1.50186e-26,1.48031e-26,1.45922e-26,1.43858e-26,1.41838e-26,1.39861e-26,1.37925e-26,1.36029e-26,1.34173e-26,1.32355e-26,1.30573e-26,1.28828e-26,1.27118e-26,1.25442e-26,
