Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],1.33088e-19,2.06764e-20,7.20853e-20,3.38093e-20,1.83734e-20,1.10496e-20,7.14807e-21,4.88451e-21,3.48274e-21,2.56892e-21,1.94799e-21,1.51143e-21,1.19559e-21,9.61476e-22,7.84281e-22,6.47712e-22,5.40768e-22,4.55838e-22,3.87542e-22,3.31943e-22,2.8638e-22,2.48694e-22,2.17262e-22,1.90846e-22,1.6849e-22,1.49447e-22,1.33128e-22,1.19068e-22,1.0689e-22,9.62921e-23,8.7028e-23,7.88958e-23,7.1729e-23,6.53896e-23,5.97626e-23,5.47514e-23,5.02747e-23,4.62639e-23,4.26603e-23,3.94141e-23,3.64824e-23,3.38284e-23,3.14204e-23,2.92308e-23,2.72356e-23,2.54139e-23,2.37476e-23,2.22205e-23,2.08186e-23,1.95295e-23,1.83422e-23,1.7247e-23,1.62351e-23,1.5299e-23,1.44318e-23,1.36273e-23,1.288e-23,1.2185e-23,1.15379e-23,1.09347e-23,1.03717e-23,9.8458e-24,9.35393e-24,8.89345e-24,8.46193e-24,8.05718e-24,7.67717e-24,7.32008e-24,6.98423e-24,6.6681e-24,6.37027e-24,6.08947e-24,5.82451e-24,5.57431e-24,5.33789e-24,5.11431e-24,4.90273e-24,4.70238e-24,4.51253e-24,4.33252e-24,4.16172e-24,3.99957e-24,3.84554e-24,3.69913e-24,3.55988e-24,3.42739e-24,3.30123e-24,3.18106e-24,3.06653e-24,2.95731e-24,2.8531e-24,2.75364e-24,2.65865e-24,2.5679e-24,2.48116e-24,2.3982e-24,2.31884e-24,2.24287e-24,2.17014e-24,2.12952e-24,2.06463e-24,2.00233e-24,1.9425e-24,1.88501e-24,1.82974e-24,1.77661e-24,1.7255e-24,1.67631e-24,1.62897e-24,1.58338e-24,1.53946e-24,1.49714e-24,1.45635e-24,1.41702e-24,1.37908e-24,1.34248e-24,1.30715e-24,1.27304e-24,1.2401e-24,1.20828e-24,1.17753e-24,1.14781e-24,1.11907e-24,1.09128e-24,1.0644e-24,1.03839e-24,1.01321e-24,9.88837e-25,9.65234e-25,9.42371e-25,9.2022e-25,8.98754e-25,8.77947e-25,8.57773e-25,8.38209e-25,8.19232e-25,8.00821e-25,7.82954e-25,7.65612e-25,7.48775e-25,7.32426e-25,7.16547e-25,7.01121e-25,6.86133e-25,6.71567e-25,6.57408e-25,6.43642e-25,6.30256e-25,6.17238e-25,
Compt [cm-2],7.1514e-25,1.751e-24,2.67949e-24,3.46752e-24,4.12986e-24,4.68677e-24,5.15642e-24,5.5538e-24,5.89103e-24,6.17785e-24,6.42213e-24,6.6303e-24,6.80762e-24,6.95844e-24,7.08638e-24,7.20394e-24,7.3123e-24,7.41206e-24,7.5038e-24,7.58806e-24,7.66533e-24,7.73609e-24,7.80078e-24,7.85981e-24,7.91358e-24,7.96242e-24,8.00669e-24,8.0467e-24,8.08273e-24,8.11506e-24,8.14394e-24,8.16962e-24,8.1923e-24,8.21219e-24,8.22949e-24,8.24437e-24,8.257e-24,8.26754e-24,8.27612e-24,8.28288e-24,8.28794e-24,8.29143e-24,8.29345e-24,8.29411e-24,8.29349e-24,8.29168e-24,8.28877e-24,8.28484e-24,8.27995e-24,8.27418e-24,8.26758e-24,8.26022e-24,8.25214e-24,8.2434e-24,8.23405e-24,8.22414e-24,8.21369e-24,8.20276e-24,8.19138e-24,8.17958e-24,8.16739e-24,8.15485e-24,8.14199e-24,8.12882e-24,8.11537e-24,8.10167e-24,8.08774e-24,8.07359e-24,8.05926e-24,8.04474e-24,8.03007e-24,8.01525e-24,8.0003e-24,7.98524e-24,7.97007e-24,7.95481e-24,7.93948e-24,7.92407e-24,7.9086e-24,7.89308e-24,7.87752e-24,7.86193e-24,7.84631e-24,7.83067e-24,7.81501e-24,7.79935e-24,7.78369e-24,7.76803e-24,7.75239e-24,7.73675e-24,7.72114e-24,7.70554e-24,7.68998e-24,7.67444e-24,7.65894e-24,7.64347e-24,7.62804e-24,7.61266e-24,7.59731e-24,7.58202e-24,7.56677e-24,7.55158e-24,7.53644e-24,7.52135e-24,7.50632e-24,7.49134e-24,7.47642e-24,7.46157e-24,7.44677e-24,7.43204e-24,7.41737e-24,7.40276e-24,7.38822e-24,7.37374e-24,7.35933e-24,7.34498e-24,7.33071e-24,7.31649e-24,7.30235e-24,7.28827e-24,7.27426e-24,7.26032e-24,7.24645e-24,7.23265e-24,7.21891e-24,7.20525e-24,7.19165e-24,7.17812e-24,7.16466e-24,7.15127e-24,7.13795e-24,7.12469e-24,7.1115e-24,7.09838e-24,7.08533e-24,7.07235e-24,7.05943e-24,7.04658e-24,7.0338e-24,7.02108e-24,7.00843e-24,6.99584e-24,6.98333e-24,6.97087e-24,6.95848e-24,6.94616e-24,6.9339e-24,6.9217e-24,6.90957e-24,
Rayl [cm-2],1.46106e-22,9.88983e-23,9.83033e-23,8.99642e-23,7.77007e-23,6.74077e-23,5.89887e-23,5.19864e-23,4.59829e-23,4.08172e-23,3.63526e-23,3.24946e-23,2.91869e-23,2.63299e-23,2.38282e-23,2.16669e-23,1.97942e-23,1.81558e-23,1.66983e-23,1.54343e-23,1.43296e-23,1.33366e-23,1.24268e-23,1.16191e-23,1.08983e-23,1.02519e-23,9.66963e-24,9.13233e-24,8.62776e-24,8.16905e-24,7.75062e-24,7.36771e-24,7.01629e-24,6.69285e-24,6.39306e-24,6.10261e-24,5.8338e-24,5.58446e-24,5.35269e-24,5.13683e-24,4.93216e-24,4.73464e-24,4.54994e-24,4.37694e-24,4.21466e-24,4.0622e-24,3.91877e-24,3.78363e-24,3.65406e-24,3.52815e-24,3.4092e-24,3.2967e-24,3.19019e-24,3.08923e-24,2.99344e-24,2.90246e-24,2.81213e-24,2.72606e-24,2.64415e-24,2.56615e-24,2.4918e-24,2.42087e-24,2.35315e-24,2.28845e-24,2.22659e-24,2.1663e-24,2.10754e-24,2.05127e-24,1.99735e-24,1.94565e-24,1.89605e-24,1.84844e-24,1.8027e-24,1.75875e-24,1.71649e-24,1.67582e-24,1.63668e-24,1.59898e-24,1.56229e-24,1.52603e-24,1.49108e-24,1.45736e-24,1.42483e-24,1.39343e-24,1.3631e-24,1.33379e-24,1.30547e-24,1.27808e-24,1.25158e-24,1.22594e-24,1.20112e-24,1.17708e-24,1.1538e-24,1.13123e-24,1.10935e-24,1.08813e-24,1.06755e-24,1.04758e-24,1.02819e-24,1.00937e-24,9.9108e-25,9.73314e-25,9.56048e-25,9.39262e-25,9.22774e-25,9.06332e-25,8.90341e-25,8.74784e-25,8.59645e-25,8.4491e-25,8.30564e-25,8.16593e-25,8.02984e-25,7.89725e-25,7.76804e-25,7.64209e-25,7.5193e-25,7.39955e-25,7.28275e-25,7.1688e-25,7.0576e-25,6.94907e-25,6.84312e-25,6.73968e-25,6.63865e-25,6.53997e-25,6.44356e-25,6.34936e-25,6.25729e-25,6.16729e-25,6.07888e-25,5.99055e-25,5.90418e-25,5.81971e-25,5.73708e-25,5.65624e-25,5.57715e-25,5.49975e-25,5.42398e-25,5.34982e-25,5.2772e-25,5.20609e-25,5.13645e-25,5.06824e-25,5.00141e-25,4.93593e-25,4.87176e-25,4.80887e-25,4.74722e-25,
