Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],1.0244e-19,1.44454e-20,5.84406e-20,2.6984e-20,1.4532e-20,8.68492e-21,5.5916e-21,3.80615e-21,2.70498e-21,1.98958e-21,1.50491e-21,1.16503e-21,9.19724e-22,7.38281e-22,6.01224e-22,4.95787e-22,4.13364e-22,3.48015e-22,2.95547e-22,2.52976e-22,2.18058e-22,1.89209e-22,1.65172e-22,1.44989e-22,1.27922e-22,1.13395e-22,1.00956e-22,9.02453e-23,8.09745e-23,7.29113e-23,6.58668e-23,5.96861e-23,5.42418e-23,4.94283e-23,4.51575e-23,4.13558e-23,3.7961e-23,3.49205e-23,3.21898e-23,2.97307e-23,2.75106e-23,2.55015e-23,2.36791e-23,2.20225e-23,2.05135e-23,1.91361e-23,1.78764e-23,1.67224e-23,1.56632e-23,1.46895e-23,1.37929e-23,1.2966e-23,1.22022e-23,1.14958e-23,1.08415e-23,1.02346e-23,9.67105e-24,9.14704e-24,8.65921e-24,8.20455e-24,7.78033e-24,7.38408e-24,7.01356e-24,6.66675e-24,6.34182e-24,6.03709e-24,5.75105e-24,5.4823e-24,5.22958e-24,4.99174e-24,4.7677e-24,4.55651e-24,4.35727e-24,4.16917e-24,3.99144e-24,3.82339e-24,3.6644e-24,3.51386e-24,3.37123e-24,3.23602e-24,3.10775e-24,2.98599e-24,2.87034e-24,2.76043e-24,2.65592e-24,2.55649e-24,2.46183e-24,2.37168e-24,2.28576e-24,2.20385e-24,2.12571e-24,2.05113e-24,1.97992e-24,1.9119e-24,1.84688e-24,1.78472e-24,1.72526e-24,1.66835e-24,1.61387e-24,1.5619e-24,1.51191e-24,1.46402e-24,1.41812e-24,1.37412e-24,1.3319e-24,1.29139e-24,1.2525e-24,1.21515e-24,1.17926e-24,1.14477e-24,1.1116e-24,1.0797e-24,1.049e-24,1.01945e-24,9.90998e-25,9.63591e-25,9.37182e-25,9.11726e-25,8.87182e-25,8.63509e-25,8.40669e-25,8.18626e-25,7.97345e-25,7.76794e-25,7.56942e-25,7.37759e-25,7.19219e-25,7.01294e-25,6.83959e-25,6.6719e-25,6.50965e-25,6.35261e-25,6.20059e-25,6.05337e-25,5.91078e-25,5.77263e-25,5.63876e-25,5.50899e-25,5.38318e-25,5.26118e-25,5.14284e-25,5.02802e-25,4.91661e-25,4.80846e-25,4.70348e-25,4.60153e-25,4.50251e-25,4.40632e-25,4.31286e-25,
Compt [cm-2],6.7524e-25,1.66397e-24,2.55182e-24,3.30502e-24,3.93721e-24,4.46778e-24,4.91424e-24,5.29107e-24,5.60997e-24,5.88039e-24,6.10994e-24,6.30483e-24,6.47015e-24,6.61011e-24,6.7282e-24,6.83638e-24,6.93599e-24,7.02759e-24,7.11173e-24,7.1889e-24,7.25958e-24,7.32421e-24,7.38319e-24,7.43692e-24,7.48576e-24,7.53004e-24,7.57007e-24,7.60614e-24,7.63854e-24,7.6675e-24,7.69328e-24,7.71608e-24,7.73611e-24,7.75357e-24,7.76863e-24,7.78146e-24,7.79221e-24,7.80103e-24,7.80804e-24,7.81338e-24,7.81716e-24,7.81949e-24,7.82046e-24,7.82019e-24,7.81874e-24,7.8162e-24,7.81266e-24,7.80818e-24,7.80282e-24,7.79665e-24,7.78973e-24,7.78211e-24,7.77385e-24,7.76498e-24,7.75556e-24,7.74562e-24,7.7352e-24,7.72434e-24,7.71307e-24,7.70143e-24,7.68944e-24,7.67714e-24,7.66453e-24,7.65166e-24,7.63855e-24,7.6252e-24,7.61165e-24,7.59792e-24,7.58401e-24,7.56995e-24,7.55575e-24,7.54142e-24,7.52698e-24,7.51245e-24,7.49782e-24,7.48312e-24,7.46836e-24,7.45354e-24,7.43866e-24,7.42375e-24,7.40881e-24,7.39385e-24,7.37886e-24,7.36387e-24,7.34886e-24,7.33386e-24,7.31887e-24,7.30389e-24,7.28892e-24,7.27397e-24,7.25904e-24,7.24414e-24,7.22927e-24,7.21443e-24,7.19963e-24,7.18487e-24,7.17016e-24,7.15548e-24,7.14085e-24,7.12627e-24,7.11174e-24,7.09727e-24,7.08284e-24,7.06848e-24,7.05416e-24,7.03991e-24,7.02571e-24,7.01158e-24,6.9975e-24,6.98349e-24,6.96954e-24,6.95566e-24,6.94183e-24,6.92807e-24,6.91438e-24,6.90075e-24,6.88719e-24,6.87369e-24,6.86026e-24,6.84689e-24,6.8336e-24,6.82036e-24,6.8072e-24,6.7941e-24,6.78107e-24,6.76811e-24,6.75521e-24,6.74238e-24,6.72962e-24,6.71692e-24,6.70429e-24,6.69172e-24,6.67922e-24,6.66679e-24,6.65442e-24,6.64212e-24,6.62988e-24,6.61771e-24,6.6056e-24,6.59356e-24,6.58158e-24,6.56966e-24,6.55781e-24,6.54602e-24,6.53429e-24,6.52262e-24,6.51102e-24,6.49948e-24,6.48799e-24,
Rayl [cm-2],1.21988e-22,6.80521e-23,9.14348e-23,8.01112e-23,6.89402e-23,5.97482e-23,5.21546e-23,4.57126e-23,4.02095e-23,3.54833e-23,3.14352e-23,2.7999e-23,2.50571e-23,2.25494e-23,2.03738e-23,1.85179e-23,1.68861e-23,1.54925e-23,1.4273e-23,1.31703e-23,1.2208e-23,1.13622e-23,1.06142e-23,9.94875e-24,9.32142e-24,8.75763e-24,8.25025e-24,7.79172e-24,7.37572e-24,6.99695e-24,6.63438e-24,6.30156e-24,5.99628e-24,5.71548e-24,5.45653e-24,5.21713e-24,4.98728e-24,4.77082e-24,4.56972e-24,4.38251e-24,4.20791e-24,4.04434e-24,3.88421e-24,3.73431e-24,3.59374e-24,3.46173e-24,3.33759e-24,3.22068e-24,3.11043e-24,3.00634e-24,2.90659e-24,2.80879e-24,2.71623e-24,2.62854e-24,2.54537e-24,2.46641e-24,2.39138e-24,2.32001e-24,2.25025e-24,2.18261e-24,2.11816e-24,2.0567e-24,1.99804e-24,1.94202e-24,1.88847e-24,1.83725e-24,1.78823e-24,1.74127e-24,1.69626e-24,1.6531e-24,1.61168e-24,1.57075e-24,1.53114e-24,1.49309e-24,1.4565e-24,1.42132e-24,1.38745e-24,1.35485e-24,1.32344e-24,1.29316e-24,1.26398e-24,1.23582e-24,1.20864e-24,1.1824e-24,1.15705e-24,1.13255e-24,1.10887e-24,1.08584e-24,1.06305e-24,1.041e-24,1.01965e-24,9.98987e-25,9.78969e-25,9.59573e-25,9.40771e-25,9.22541e-25,9.04859e-25,8.87703e-25,8.71051e-25,8.54885e-25,8.39186e-25,8.23934e-25,8.09114e-25,7.94708e-25,7.80703e-25,7.67081e-25,7.5383e-25,7.40936e-25,7.28386e-25,7.16168e-25,7.0427e-25,6.92577e-25,6.80912e-25,6.69548e-25,6.58475e-25,6.47682e-25,6.37161e-25,6.26901e-25,6.16895e-25,6.07135e-25,5.97611e-25,5.88316e-25,5.79244e-25,5.70387e-25,5.61737e-25,5.5329e-25,5.45038e-25,5.36975e-25,5.29095e-25,5.21394e-25,5.13865e-25,5.06504e-25,4.99305e-25,4.92264e-25,4.85376e-25,4.78636e-25,4.72041e-25,4.65586e-25,4.59267e-25,4.53081e-25,4.47023e-25,4.4109e-25,4.35279e-25,4.29587e-25,4.23947e-25,4.18342e-25,4.1285e-25,4.07468e-25,4.02193e-25,
