Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],4.5687e-19,7.61948e-20,2.56199e-20,1.17309e-20,5.48124e-20,3.46904e-20,2.3167e-20,1.61751e-20,1.17127e-20,8.74051e-21,6.6886e-21,5.22836e-21,4.16188e-21,3.36538e-21,2.75884e-21,2.28902e-21,1.91958e-21,1.62516e-21,1.38769e-21,1.19408e-21,1.03469e-21,9.02287e-22,7.91417e-22,6.97886e-22,6.18441e-22,5.50535e-22,4.92153e-22,4.41687e-22,3.97843e-22,3.59574e-22,3.26023e-22,2.96488e-22,2.70387e-22,2.47237e-22,2.26635e-22,2.08239e-22,1.91765e-22,1.76967e-22,1.6364e-22,1.51605e-22,1.4071e-22,1.30825e-22,1.21834e-22,1.1364e-22,1.06157e-22,9.93098e-23,9.30322e-23,8.72667e-23,8.19623e-23,7.70742e-23,7.25624e-23,6.83917e-23,6.45305e-23,6.09508e-23,5.76276e-23,5.45385e-23,5.16632e-23,4.89838e-23,4.64839e-23,4.41488e-23,4.19653e-23,3.99213e-23,3.80059e-23,3.62093e-23,3.45224e-23,3.2937e-23,3.14457e-23,3.00417e-23,2.87186e-23,2.74708e-23,2.6293e-23,2.51805e-23,2.41288e-23,2.31338e-23,2.21918e-23,2.12994e-23,2.04533e-23,1.96506e-23,1.88886e-23,1.81647e-23,1.74767e-23,1.68223e-23,1.61995e-23,1.56065e-23,1.50415e-23,1.45029e-23,1.39892e-23,1.3499e-23,1.3031e-23,1.25838e-23,1.21565e-23,1.17479e-23,1.1357e-23,1.09829e-23,1.06247e-23,1.02815e-23,9.95265e-24,9.63734e-24,9.33491e-24,9.03891e-24,8.76061e-24,8.49355e-24,8.23717e-24,7.99093e-24,7.75434e-24,7.52695e-24,7.3083e-24,7.09799e-24,6.89562e-24,6.70082e-24,6.51324e-24,6.33256e-24,6.15846e-24,5.99065e-24,5.82884e-24,5.67277e-24,5.52219e-24,5.37687e-24,5.23657e-24,5.10108e-24,4.97019e-24,4.84373e-24,4.72149e-24,4.60331e-24,4.48902e-24,4.37847e-24,4.27149e-24,4.16796e-24,4.06772e-24,3.97066e-24,3.87665e-24,3.78557e-24,3.69731e-24,3.61175e-24,3.52881e-24,3.44837e-24,3.37035e-24,3.29466e-24,3.2212e-24,3.14991e-24,3.08069e-24,3.01348e-24,2.94821e-24,2.8848e-24,2.82318e-24,2.76331e-24,2.70511e-24,2.64853e-24,2.59351e-24,
Compt [cm-2],9.13486e-25,2.18089e-24,3.31446e-24,4.28345e-24,5.1066e-24,5.80742e-24,6.40662e-24,6.92119e-24,7.36486e-24,7.74869e-24,8.08165e-24,8.37107e-24,8.62301e-24,8.84248e-24,9.03368e-24,9.21197e-24,9.37718e-24,9.53014e-24,9.67163e-24,9.80241e-24,9.92317e-24,1.00346e-23,1.01372e-23,1.02317e-23,1.03185e-23,1.03982e-23,1.04713e-23,1.05381e-23,1.05992e-23,1.06548e-23,1.07053e-23,1.07511e-23,1.07925e-23,1.08298e-23,1.08632e-23,1.0893e-23,1.09195e-23,1.09428e-23,1.09632e-23,1.09808e-23,1.09959e-23,1.10085e-23,1.1019e-23,1.10273e-23,1.10337e-23,1.10383e-23,1.10411e-23,1.10424e-23,1.10422e-23,1.10405e-23,1.10376e-23,1.10335e-23,1.10282e-23,1.10219e-23,1.10146e-23,1.10063e-23,1.09973e-23,1.09874e-23,1.09767e-23,1.09654e-23,1.09534e-23,1.09408e-23,1.09276e-23,1.09139e-23,1.08997e-23,1.08851e-23,1.08701e-23,1.08546e-23,1.08389e-23,1.08227e-23,1.08063e-23,1.07896e-23,1.07726e-23,1.07554e-23,1.0738e-23,1.07203e-23,1.07025e-23,1.06845e-23,1.06664e-23,1.06481e-23,1.06297e-23,1.06112e-23,1.05926e-23,1.05739e-23,1.05552e-23,1.05363e-23,1.05174e-23,1.04985e-23,1.04795e-23,1.04605e-23,1.04415e-23,1.04224e-23,1.04034e-23,1.03843e-23,1.03652e-23,1.03462e-23,1.03271e-23,1.03081e-23,1.02891e-23,1.02701e-23,1.02511e-23,1.02322e-23,1.02133e-23,1.01945e-23,1.01757e-23,1.01569e-23,1.01382e-23,1.01195e-23,1.01009e-23,1.00824e-23,1.00639e-23,1.00454e-23,1.0027e-23,1.00087e-23,9.99046e-24,9.97227e-24,9.95415e-24,9.93609e-24,9.91809e-24,9.90017e-24,9.88232e-24,9.86453e-24,9.84682e-24,9.82918e-24,9.81162e-24,9.79412e-24,9.7767e-24,9.75936e-24,9.74208e-24,9.72489e-24,9.70776e-24,9.69072e-24,9.67374e-24,9.65685e-24,9.64002e-24,9.62328e-24,9.60661e-24,9.59001e-24,9.57349e-24,9.55705e-24,9.54068e-24,9.52439e-24,9.50817e-24,9.49203e-24,9.47596e-24,9.45996e-24,9.44404e-24,9.4282e-24,9.41243e-24,
Rayl [cm-2],3.11123e-22,2.42446e-22,1.8831e-22,1.43353e-22,8.61516e-23,1.17548e-22,1.07994e-22,9.68612e-23,8.67696e-23,7.81563e-23,7.07323e-23,6.43856e-23,5.87763e-23,5.38705e-23,4.9455e-23,4.55476e-23,4.20622e-23,3.88532e-23,3.60453e-23,3.34254e-23,3.11182e-23,2.9011e-23,2.71055e-23,2.53888e-23,2.3796e-23,2.23684e-23,2.10831e-23,1.98595e-23,1.87439e-23,1.77304e-23,1.68066e-23,1.59619e-23,1.51871e-23,1.44745e-23,1.38174e-23,1.32099e-23,1.26471e-23,1.21244e-23,1.1638e-23,1.11577e-23,1.07067e-23,1.02854e-23,9.89129e-24,9.52198e-24,9.17536e-24,8.84956e-24,8.54041e-24,8.23953e-24,7.95585e-24,7.68804e-24,7.43491e-24,7.19538e-24,6.96847e-24,6.75327e-24,6.54897e-24,6.35483e-24,6.17016e-24,5.9877e-24,5.812e-24,5.64458e-24,5.48493e-24,5.33256e-24,5.18702e-24,5.0479e-24,4.91483e-24,4.78744e-24,4.6654e-24,4.547e-24,4.42995e-24,4.31767e-24,4.20992e-24,4.10645e-24,4.00704e-24,3.91145e-24,3.81951e-24,3.73102e-24,3.64581e-24,3.56372e-24,3.48458e-24,3.40779e-24,3.33099e-24,3.2569e-24,3.18539e-24,3.11635e-24,3.04965e-24,2.98519e-24,2.92288e-24,2.86261e-24,2.80429e-24,2.74785e-24,2.6932e-24,2.64026e-24,2.58896e-24,2.53924e-24,2.49102e-24,2.44425e-24,2.39888e-24,2.35483e-24,2.31207e-24,2.27054e-24,2.23019e-24,2.19098e-24,2.15215e-24,2.11362e-24,2.07617e-24,2.03974e-24,2.00431e-24,1.96984e-24,1.93628e-24,1.90362e-24,1.87181e-24,1.84083e-24,1.81065e-24,1.78124e-24,1.75258e-24,1.72463e-24,1.69738e-24,1.6708e-24,1.64487e-24,1.61957e-24,1.59488e-24,1.57077e-24,1.54651e-24,1.52281e-24,1.49968e-24,1.47709e-24,1.45502e-24,1.43345e-24,1.41238e-24,1.39178e-24,1.37165e-24,1.35196e-24,1.33271e-24,1.31388e-24,1.29546e-24,1.27743e-24,1.2598e-24,1.24253e-24,1.22564e-24,1.20909e-24,1.1929e-24,1.17703e-24,1.16149e-24,1.14627e-24,1.13136e-24,1.11675e-24,1.10242e-24,1.08839e-24,1.07462e-24,
