Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],4.39034e-20,5.95328e-21,1.78057e-21,7.42239e-22,3.71792e-22,2.09835e-22,1.28671e-22,8.38736e-23,5.73025e-23,4.06382e-23,2.97114e-23,2.22813e-23,1.70736e-23,1.33289e-23,1.05765e-23,8.51456e-24,6.94393e-24,5.72982e-24,4.77893e-24,4.05352e-24,3.4265e-24,2.92055e-24,2.50808e-24,2.16867e-24,1.88698e-24,1.65135e-24,1.45283e-24,1.28446e-24,1.14077e-24,1.01744e-24,9.11023e-25,8.18735e-25,7.38328e-25,6.67967e-25,6.06143e-25,5.5161e-25,5.03334e-25,4.60449e-25,4.22229e-25,3.88061e-25,3.57428e-25,3.29887e-25,3.05061e-25,2.82626e-25,2.62303e-25,2.43851e-25,2.27062e-25,2.11754e-25,1.97768e-25,1.84966e-25,1.73227e-25,1.62442e-25,1.52519e-25,1.43372e-25,1.34929e-25,1.27123e-25,1.19897e-25,1.13197e-25,1.06977e-25,1.01195e-25,9.58137e-26,9.07992e-26,8.61209e-26,8.17515e-26,7.76661e-26,7.38422e-26,7.02593e-26,6.6899e-26,6.37445e-26,6.07802e-26,5.79923e-26,5.5368e-26,5.28955e-26,5.05641e-26,4.8364e-26,4.62861e-26,4.43223e-26,4.24648e-26,4.07066e-26,3.90413e-26,3.74628e-26,3.59656e-26,3.45447e-26,3.31952e-26,3.19128e-26,3.06935e-26,2.95333e-26,2.84289e-26,2.7377e-26,2.63745e-26,2.54185e-26,2.45065e-26,2.3636e-26,2.28046e-26,2.20103e-26,2.1251e-26,2.05248e-26,1.98299e-26,1.91648e-26,1.84628e-26,1.78677e-26,1.72977e-26,1.67516e-26,1.62281e-26,1.5726e-26,1.52444e-26,1.47821e-26,1.43382e-26,1.39118e-26,1.35021e-26,1.31082e-26,1.27294e-26,1.2365e-26,1.20143e-26,1.16767e-26,1.13516e-26,1.10384e-26,1.07366e-26,1.04456e-26,1.0165e-26,9.89435e-27,9.63318e-27,9.38109e-27,9.13769e-27,8.90262e-27,8.67552e-27,8.45606e-27,8.24393e-27,8.03881e-27,7.84043e-27,7.6485e-27,7.46278e-27,7.28302e-27,7.10897e-27,6.94041e-27,6.77714e-27,6.61894e-27,6.46562e-27,6.317e-27,6.17289e-27,6.03314e-27,5.89756e-27,5.76602e-27,5.63836e-27,5.51444e-27,5.39413e-27,5.27729e-27,5.1638e-27,5.05355e-27,
Compt [cm-2],2.49243e-25,6.93175e-25,1.11538e-24,1.47959e-24,1.78526e-24,2.03937e-24,2.24988e-24,2.42394e-24,2.5676e-24,2.68587e-24,2.78284e-24,2.86189e-24,2.9258e-24,2.97686e-24,3.01699e-24,3.0522e-24,3.08422e-24,3.11326e-24,3.13954e-24,3.16326e-24,3.1846e-24,3.20372e-24,3.22079e-24,3.23597e-24,3.24937e-24,3.26115e-24,3.2714e-24,3.28026e-24,3.28781e-24,3.29415e-24,3.29938e-24,3.30358e-24,3.30681e-24,3.30917e-24,3.3107e-24,3.31147e-24,3.31155e-24,3.31097e-24,3.3098e-24,3.30807e-24,3.30583e-24,3.30312e-24,3.29998e-24,3.29643e-24,3.29251e-24,3.28825e-24,3.28368e-24,3.27883e-24,3.2737e-24,3.26834e-24,3.26275e-24,3.25696e-24,3.25099e-24,3.24484e-24,3.23855e-24,3.23211e-24,3.22554e-24,3.21886e-24,3.21208e-24,3.20521e-24,3.19825e-24,3.19122e-24,3.18412e-24,3.17697e-24,3.16977e-24,3.16253e-24,3.15525e-24,3.14793e-24,3.1406e-24,3.13324e-24,3.12587e-24,3.11849e-24,3.11111e-24,3.10372e-24,3.09633e-24,3.08894e-24,3.08157e-24,3.0742e-24,3.06684e-24,3.05951e-24,3.05218e-24,3.04488e-24,3.0376e-24,3.03034e-24,3.02311e-24,3.0159e-24,3.00872e-24,3.00157e-24,2.99445e-24,2.98736e-24,2.9803e-24,2.97328e-24,2.96628e-24,2.95933e-24,2.9524e-24,2.94552e-24,2.93867e-24,2.93185e-24,2.92507e-24,2.91833e-24,2.91163e-24,2.90496e-24,2.89834e-24,2.89175e-24,2.88519e-24,2.87868e-24,2.87221e-24,2.86577e-24,2.85937e-24,2.85302e-24,2.84669e-24,2.84041e-24,2.83417e-24,2.82796e-24,2.8218e-24,2.81567e-24,2.80958e-24,2.80352e-24,2.79751e-24,2.79153e-24,2.78559e-24,2.77969e-24,2.77382e-24,2.76799e-24,2.7622e-24,2.75644e-24,2.75072e-24,2.74503e-24,2.73939e-24,2.73377e-24,2.72819e-24,2.72265e-24,2.71714e-24,2.71166e-24,2.70622e-24,2.70081e-24,2.69544e-24,2.6901e-24,2.68479e-24,2.67952e-24,2.67427e-24,2.66906e-24,2.66388e-24,2.65874e-24,2.65362e-24,2.64854e-24,2.64349e-24,2.63846e-24,2.63347e-24,
Rayl [cm-2],2.47334e-23,1.78351e-23,1.28348e-23,9.51709e-24,7.38077e-24,5.94766e-24,4.96152e-24,4.25178e-24,3.70984e-24,3.27526e-24,2.92478e-24,2.63066e-24,2.37631e-24,2.15836e-24,1.96902e-24,1.80029e-24,1.65248e-24,1.52159e-24,1.40326e-24,1.29919e-24,1.20418e-24,1.1197e-24,1.04395e-24,9.74204e-25,9.12052e-25,8.5536e-25,8.02897e-25,7.55613e-25,7.12829e-25,6.73213e-25,6.36158e-25,6.02348e-25,5.71405e-25,5.43007e-25,5.16812e-25,4.91625e-25,4.68369e-25,4.46848e-25,4.2689e-25,4.08345e-25,3.91079e-25,3.74943e-25,3.59301e-25,3.44678e-25,3.30985e-25,3.18145e-25,3.06085e-25,2.94745e-25,2.84065e-25,2.73846e-25,2.64003e-25,2.54706e-25,2.45917e-25,2.37598e-25,2.29715e-25,2.2224e-25,2.15143e-25,2.08399e-25,2.01984e-25,1.95878e-25,1.89912e-25,1.84182e-25,1.78717e-25,1.73501e-25,1.68519e-25,1.63757e-25,1.59202e-25,1.54843e-25,1.50667e-25,1.46665e-25,1.42827e-25,1.39144e-25,1.35608e-25,1.32157e-25,1.28798e-25,1.25569e-25,1.22463e-25,1.19474e-25,1.16597e-25,1.13825e-25,1.11153e-25,1.08577e-25,1.06093e-25,1.03695e-25,1.0138e-25,9.91435e-26,9.69829e-26,9.48943e-26,9.28746e-26,9.09207e-26,8.90298e-26,8.71991e-26,8.53921e-26,8.36332e-26,8.19291e-26,8.02774e-26,7.86761e-26,7.71231e-26,7.56165e-26,7.41544e-26,7.27351e-26,7.13569e-26,7.00183e-26,6.87177e-26,6.74538e-26,6.6225e-26,6.50302e-26,6.38681e-26,6.27376e-26,6.16373e-26,6.05664e-26,5.95237e-26,5.85083e-26,5.75191e-26,5.65554e-26,5.56163e-26,5.47008e-26,5.38082e-26,5.29378e-26,5.20732e-26,5.12288e-26,5.04051e-26,4.96012e-26,4.88166e-26,4.80507e-26,4.73028e-26,4.65724e-26,4.5859e-26,4.51621e-26,4.44811e-26,4.38155e-26,4.31649e-26,4.25288e-26,4.19069e-26,4.12986e-26,4.07037e-26,4.01216e-26,3.95521e-26,3.89948e-26,3.84493e-26,3.79153e-26,3.73924e-26,3.68805e-26,3.63791e-26,3.58879e-26,3.54068e-26,3.49354e-26,3.44735e-26,3.40207e-26,
