Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],2.58426e-19,4.39581e-20,1.43783e-20,6.05654e-20,3.38428e-20,2.0718e-20,1.35747e-20,9.36784e-21,6.73305e-21,4.99993e-21,3.81352e-21,2.97409e-21,2.36343e-21,1.90855e-21,1.56274e-21,1.29514e-21,1.0848e-21,9.17186e-22,7.81962e-22,6.71669e-22,5.80898e-22,5.05606e-22,4.42646e-22,3.89606e-22,3.44617e-22,3.06215e-22,2.73244e-22,2.44782e-22,2.20089e-22,1.98564e-22,1.79719e-22,1.63152e-22,1.48531e-22,1.3558e-22,1.24069e-22,1.13806e-22,1.04626e-22,9.63912e-23,8.89845e-23,8.23049e-23,7.62661e-23,7.07937e-23,6.58233e-23,6.12993e-23,5.71729e-23,5.3402e-23,4.99494e-23,4.67825e-23,4.38726e-23,4.11945e-23,3.87257e-23,3.64465e-23,3.43391e-23,3.23878e-23,3.05786e-23,2.8899e-23,2.73376e-23,2.58844e-23,2.45303e-23,2.3267e-23,2.20872e-23,2.09841e-23,1.99518e-23,1.89846e-23,1.80776e-23,1.72263e-23,1.64264e-23,1.56743e-23,1.49664e-23,1.42996e-23,1.3671e-23,1.30779e-23,1.25179e-23,1.19888e-23,1.14884e-23,1.1015e-23,1.05666e-23,1.01418e-23,9.73895e-24,9.35674e-24,8.99387e-24,8.64915e-24,8.32148e-24,8.00983e-24,7.71325e-24,7.43085e-24,7.16182e-24,6.90538e-24,6.66081e-24,6.42746e-24,6.20468e-24,5.99191e-24,5.78859e-24,5.59422e-24,5.40831e-24,5.23042e-24,5.06013e-24,4.89704e-24,4.74078e-24,4.59017e-24,4.4466e-24,4.30894e-24,4.17687e-24,4.05013e-24,3.92844e-24,3.81156e-24,3.69925e-24,3.59129e-24,3.48749e-24,3.38762e-24,3.29153e-24,3.19902e-24,3.10994e-24,3.02412e-24,2.94142e-24,2.8617e-24,2.78483e-24,2.71068e-24,2.63914e-24,2.57008e-24,2.50341e-24,2.43901e-24,2.37681e-24,2.31669e-24,2.25859e-24,2.20241e-24,2.14807e-24,2.0955e-24,2.04463e-24,1.9954e-24,1.94773e-24,1.90157e-24,1.85685e-24,1.81352e-24,1.77153e-24,1.73083e-24,1.69136e-24,1.65308e-24,1.61595e-24,1.57993e-24,1.54497e-24,1.51103e-24,1.47808e-24,1.44608e-24,1.415e-24,1.38481e-24,1.35547e-24,1.32695e-24,1.29923e-24,
Compt [cm-2],8.23206e-25,1.98542e-24,3.02435e-24,3.90859e-24,4.65542e-24,5.28716e-24,5.82354e-24,6.28078e-24,6.67195e-24,7.00756e-24,7.29614e-24,7.54462e-24,7.75872e-24,7.94316e-24,8.10189e-24,8.24891e-24,8.38481e-24,8.51031e-24,8.62608e-24,8.73277e-24,8.83099e-24,8.92128e-24,9.00419e-24,9.0802e-24,9.14978e-24,9.21335e-24,9.27133e-24,9.32408e-24,9.37196e-24,9.41529e-24,9.45439e-24,9.48953e-24,9.52099e-24,9.549e-24,9.5738e-24,9.59561e-24,9.61463e-24,9.63104e-24,9.64502e-24,9.65673e-24,9.66633e-24,9.67395e-24,9.67973e-24,9.6838e-24,9.68626e-24,9.68722e-24,9.68679e-24,9.68507e-24,9.68213e-24,9.67806e-24,9.67294e-24,9.66683e-24,9.65982e-24,9.65195e-24,9.64329e-24,9.63389e-24,9.62381e-24,9.61308e-24,9.60177e-24,9.58991e-24,9.57753e-24,9.56468e-24,9.5514e-24,9.5377e-24,9.52364e-24,9.50922e-24,9.49448e-24,9.47946e-24,9.46415e-24,9.4486e-24,9.43283e-24,9.41684e-24,9.40066e-24,9.38431e-24,9.36781e-24,9.35116e-24,9.33438e-24,9.31749e-24,9.3005e-24,9.28342e-24,9.26626e-24,9.24903e-24,9.23174e-24,9.2144e-24,9.19702e-24,9.17961e-24,9.16217e-24,9.14472e-24,9.12725e-24,9.10977e-24,9.0923e-24,9.07483e-24,9.05737e-24,9.03993e-24,9.02251e-24,9.00511e-24,8.98774e-24,8.9704e-24,8.95309e-24,8.93583e-24,8.9186e-24,8.90142e-24,8.88429e-24,8.8672e-24,8.85017e-24,8.83319e-24,8.81626e-24,8.79939e-24,8.78258e-24,8.76583e-24,8.74914e-24,8.73252e-24,8.71595e-24,8.69946e-24,8.68303e-24,8.66666e-24,8.65037e-24,8.63414e-24,8.61798e-24,8.60189e-24,8.58587e-24,8.56993e-24,8.55405e-24,8.53824e-24,8.52251e-24,8.50685e-24,8.49126e-24,8.47575e-24,8.4603e-24,8.44493e-24,8.42963e-24,8.41441e-24,8.39926e-24,8.38418e-24,8.36917e-24,8.35424e-24,8.33937e-24,8.32458e-24,8.30987e-24,8.29522e-24,8.28065e-24,8.26614e-24,8.25171e-24,8.23735e-24,8.22306e-24,8.20884e-24,8.19469e-24,8.18062e-24,8.16661e-24,
Rayl [cm-2],2.20685e-22,1.66031e-22,1.1932e-22,1.08606e-22,1.05484e-22,9.32819e-23,8.20167e-23,7.26533e-23,6.48082e-23,5.81718e-23,5.24215e-23,4.74567e-23,4.30379e-23,3.91815e-23,3.57368e-23,3.26993e-23,2.99806e-23,2.76007e-23,2.54253e-23,2.3536e-23,2.18506e-23,2.03149e-23,1.89579e-23,1.77518e-23,1.66266e-23,1.56102e-23,1.4696e-23,1.38703e-23,1.31215e-23,1.24401e-23,1.17993e-23,1.12013e-23,1.06531e-23,1.01491e-23,9.68446e-24,9.25506e-24,8.85731e-24,8.48806e-24,8.14454e-24,7.81275e-24,7.49605e-24,7.2003e-24,6.92363e-24,6.66439e-24,6.4211e-24,6.19244e-24,5.97721e-24,5.77436e-24,5.57454e-24,5.38574e-24,5.20731e-24,5.0385e-24,4.87859e-24,4.72697e-24,4.58304e-24,4.44251e-24,4.30664e-24,4.17742e-24,4.05441e-24,3.93722e-24,3.82546e-24,3.71881e-24,3.61695e-24,3.51959e-24,3.42635e-24,3.33356e-24,3.24474e-24,3.15967e-24,3.07813e-24,2.99993e-24,2.92488e-24,2.85281e-24,2.78357e-24,2.717e-24,2.65297e-24,2.59073e-24,2.52898e-24,2.46953e-24,2.41225e-24,2.35706e-24,2.30383e-24,2.25249e-24,2.20293e-24,2.15509e-24,2.10887e-24,2.0642e-24,2.02102e-24,1.97926e-24,1.93886e-24,1.89975e-24,1.86188e-24,1.8252e-24,1.78967e-24,1.75522e-24,1.72181e-24,1.68942e-24,1.65798e-24,1.62739e-24,1.59675e-24,1.567e-24,1.53812e-24,1.51006e-24,1.48279e-24,1.45629e-24,1.43052e-24,1.40546e-24,1.38109e-24,1.35737e-24,1.33429e-24,1.31181e-24,1.28993e-24,1.26862e-24,1.24785e-24,1.22762e-24,1.2079e-24,1.18867e-24,1.16992e-24,1.1516e-24,1.1332e-24,1.11526e-24,1.09775e-24,1.08066e-24,1.06398e-24,1.0477e-24,1.03179e-24,1.01626e-24,1.00109e-24,9.8627e-25,9.71785e-25,9.57627e-25,9.43786e-25,9.30253e-25,9.17019e-25,9.04075e-25,8.91412e-25,8.79023e-25,8.66899e-25,8.55033e-25,8.43417e-25,8.32045e-25,8.20909e-25,8.10004e-25,7.99322e-25,7.88858e-25,7.78605e-25,7.68559e-25,7.58712e-25,7.49061e-25,7.396e-25,
