Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],1.63829e-19,2.64406e-20,8.76655e-20,4.17904e-20,2.29076e-20,1.38529e-20,8.99733e-21,6.16714e-21,4.40836e-21,3.25863e-21,2.47562e-21,1.92403e-21,1.52431e-21,1.22757e-21,1.00267e-21,8.29121e-22,6.93063e-22,5.84896e-22,4.97827e-22,4.26981e-22,3.68756e-22,3.20535e-22,2.80269e-22,2.46393e-22,2.17694e-22,1.93226e-22,1.72241e-22,1.54146e-22,1.38462e-22,1.24804e-22,1.12857e-22,1.02363e-22,9.31093e-23,8.49198e-23,7.76467e-23,7.11665e-23,6.53748e-23,6.01834e-23,5.55171e-23,5.13118e-23,4.75125e-23,4.40719e-23,4.09489e-23,3.81081e-23,3.55187e-23,3.31538e-23,3.09898e-23,2.9006e-23,2.71843e-23,2.55087e-23,2.39649e-23,2.25405e-23,2.12241e-23,2.0006e-23,1.88772e-23,1.78298e-23,1.68566e-23,1.59513e-23,1.51082e-23,1.43221e-23,1.35883e-23,1.29025e-23,1.22611e-23,1.16605e-23,1.10975e-23,1.05693e-23,1.00733e-23,9.60711e-24,9.16857e-24,8.75569e-24,8.36664e-24,7.99976e-24,7.65351e-24,7.32649e-24,7.01741e-24,6.72507e-24,6.44837e-24,6.1863e-24,5.93792e-24,5.70237e-24,5.47883e-24,5.26658e-24,5.06491e-24,4.87319e-24,4.69082e-24,4.51726e-24,4.35198e-24,4.19451e-24,4.04439e-24,3.90122e-24,3.76461e-24,3.63418e-24,3.5096e-24,3.39056e-24,3.27675e-24,3.1679e-24,3.06374e-24,2.96403e-24,2.86854e-24,2.77685e-24,2.68919e-24,2.60516e-24,2.52457e-24,2.44726e-24,2.37306e-24,2.30181e-24,2.23338e-24,2.16762e-24,2.1044e-24,2.04361e-24,1.98513e-24,1.92885e-24,1.87466e-24,1.82249e-24,1.77222e-24,1.72378e-24,1.67708e-24,1.63205e-24,1.58861e-24,1.54669e-24,1.50624e-24,1.46717e-24,1.42945e-24,1.393e-24,1.35778e-24,1.32373e-24,1.29081e-24,1.25897e-24,1.22816e-24,1.19836e-24,1.1695e-24,1.14157e-24,1.11451e-24,1.08831e-24,1.06291e-24,1.0383e-24,1.01445e-24,9.91318e-25,9.68885e-25,9.47123e-25,9.26008e-25,9.05517e-25,8.85625e-25,8.66312e-25,8.47557e-25,8.2934e-25,8.11642e-25,7.94444e-25,7.77729e-25,
Compt [cm-2],7.53125e-25,1.83357e-24,2.80073e-24,3.62219e-24,4.31365e-24,4.89618e-24,5.38854e-24,5.80617e-24,6.16155e-24,6.46469e-24,6.72373e-24,6.94526e-24,7.13471e-24,7.29656e-24,7.43457e-24,7.56174e-24,7.67907e-24,7.7872e-24,7.88675e-24,7.97829e-24,8.06236e-24,8.13944e-24,8.21003e-24,8.27454e-24,8.33341e-24,8.387e-24,8.43568e-24,8.47977e-24,8.5196e-24,8.55545e-24,8.5876e-24,8.61629e-24,8.64175e-24,8.66422e-24,8.68389e-24,8.70096e-24,8.7156e-24,8.72797e-24,8.73824e-24,8.74653e-24,8.753e-24,8.75776e-24,8.76093e-24,8.76262e-24,8.76293e-24,8.76195e-24,8.75978e-24,8.75649e-24,8.75216e-24,8.74687e-24,8.74068e-24,8.73365e-24,8.72585e-24,8.71733e-24,8.70813e-24,8.69831e-24,8.68792e-24,8.67698e-24,8.66555e-24,8.65367e-24,8.64135e-24,8.62865e-24,8.61558e-24,8.60217e-24,8.58846e-24,8.57446e-24,8.5602e-24,8.54571e-24,8.53099e-24,8.51608e-24,8.50099e-24,8.48573e-24,8.47032e-24,8.45478e-24,8.43912e-24,8.42335e-24,8.40749e-24,8.39154e-24,8.37553e-24,8.35944e-24,8.34331e-24,8.32713e-24,8.31091e-24,8.29466e-24,8.2784e-24,8.26211e-24,8.24582e-24,8.22953e-24,8.21324e-24,8.19696e-24,8.18069e-24,8.16444e-24,8.14821e-24,8.132e-24,8.11583e-24,8.09969e-24,8.08358e-24,8.06751e-24,8.05149e-24,8.03551e-24,8.01957e-24,8.00369e-24,7.98786e-24,7.97208e-24,7.95635e-24,7.94068e-24,7.92507e-24,7.90952e-24,7.89402e-24,7.87859e-24,7.86323e-24,7.84792e-24,7.83269e-24,7.81751e-24,7.80241e-24,7.78737e-24,7.77239e-24,7.75749e-24,7.74265e-24,7.72789e-24,7.71319e-24,7.69856e-24,7.684e-24,7.66951e-24,7.65509e-24,7.64074e-24,7.62646e-24,7.61225e-24,7.59811e-24,7.58404e-24,7.57005e-24,7.55612e-24,7.54226e-24,7.52847e-24,7.51475e-24,7.5011e-24,7.48752e-24,7.47401e-24,7.46056e-24,7.44719e-24,7.43388e-24,7.42064e-24,7.40747e-24,7.39437e-24,7.38133e-24,7.36836e-24,7.35546e-24,7.34262e-24,7.32985e-24,
Rayl [cm-2],1.72183e-22,1.23752e-22,9.42814e-23,1.00027e-22,8.73651e-23,7.58703e-23,6.64407e-23,5.86888e-23,5.21436e-23,4.65157e-23,4.1623e-23,3.73489e-23,3.36633e-23,3.0448e-23,2.76027e-23,2.51367e-23,2.29797e-23,2.11066e-23,1.94239e-23,1.79638e-23,1.66696e-23,1.54878e-23,1.44441e-23,1.3517e-23,1.2689e-23,1.19193e-23,1.1214e-23,1.05772e-23,1.00001e-23,9.47511e-24,8.99598e-24,8.55729e-24,8.15445e-24,7.76954e-24,7.41008e-24,7.07801e-24,6.77053e-24,6.48519e-24,6.21983e-24,5.96491e-24,5.72231e-24,5.49578e-24,5.28388e-24,5.08536e-24,4.89906e-24,4.72398e-24,4.55921e-24,4.39982e-24,4.24668e-24,4.10214e-24,3.96557e-24,3.83636e-24,3.714e-24,3.59798e-24,3.4862e-24,3.37665e-24,3.27258e-24,3.17361e-24,3.07942e-24,2.98969e-24,2.90414e-24,2.82252e-24,2.74456e-24,2.66978e-24,2.59566e-24,2.52477e-24,2.45693e-24,2.39195e-24,2.32968e-24,2.26997e-24,2.21267e-24,2.15766e-24,2.10481e-24,2.05402e-24,2.00516e-24,1.95815e-24,1.91238e-24,1.867e-24,1.82329e-24,1.78116e-24,1.74055e-24,1.70138e-24,1.66358e-24,1.62708e-24,1.59183e-24,1.55777e-24,1.52485e-24,1.49302e-24,1.46222e-24,1.43241e-24,1.40356e-24,1.37561e-24,1.34853e-24,1.32229e-24,1.29685e-24,1.27218e-24,1.24824e-24,1.22501e-24,1.20246e-24,1.18056e-24,1.15929e-24,1.13862e-24,1.11834e-24,1.09811e-24,1.07845e-24,1.05933e-24,1.04073e-24,1.02264e-24,1.00503e-24,9.87896e-25,9.71209e-25,9.54957e-25,9.39127e-25,9.23702e-25,9.08669e-25,8.94016e-25,8.79728e-25,8.65795e-25,8.52203e-25,8.38942e-25,8.26002e-25,8.13371e-25,8.0104e-25,7.89e-25,7.77241e-25,7.65623e-25,7.54097e-25,7.42837e-25,7.31833e-25,7.21079e-25,7.10567e-25,7.00289e-25,6.9024e-25,6.8041e-25,6.70796e-25,6.61389e-25,6.52185e-25,6.43177e-25,6.3436e-25,6.25728e-25,6.17276e-25,6.09e-25,6.00894e-25,5.92953e-25,5.85174e-25,5.77551e-25,5.70081e-25,5.6276e-25,5.55583e-25,
