Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],2.40818e-20,5.98788e-20,1.9475e-20,8.531e-21,4.44453e-21,2.59226e-21,1.63662e-21,1.09574e-21,7.67529e-22,5.57281e-22,4.16616e-22,3.19095e-22,2.49447e-22,1.98437e-22,1.60262e-22,1.31152e-22,1.08587e-22,9.08401e-23,7.67009e-23,6.53183e-23,5.60388e-23,4.84132e-23,4.2091e-23,3.68069e-23,3.23577e-23,2.85859e-23,2.53684e-23,2.26076e-23,2.02261e-23,1.81613e-23,1.63628e-23,1.47894e-23,1.34072e-23,1.21884e-23,1.11098e-23,1.01519e-23,9.29851e-24,8.53593e-24,7.85253e-24,7.2384e-24,6.68509e-24,6.18534e-24,5.73291e-24,5.32241e-24,4.94914e-24,4.60904e-24,4.29856e-24,4.01458e-24,3.75438e-24,3.51556e-24,3.296e-24,3.09382e-24,2.90737e-24,2.73517e-24,2.5759e-24,2.4284e-24,2.29162e-24,2.16461e-24,2.04654e-24,1.93665e-24,1.83425e-24,1.73872e-24,1.64952e-24,1.56613e-24,1.48811e-24,1.41502e-24,1.3465e-24,1.28221e-24,1.22182e-24,1.16505e-24,1.11165e-24,1.06136e-24,1.01398e-24,9.69289e-25,9.27117e-25,8.87289e-25,8.49647e-25,8.14046e-25,7.80355e-25,7.48449e-25,7.18214e-25,6.89545e-25,6.62344e-25,6.36521e-25,6.11992e-25,5.88678e-25,5.66508e-25,5.45414e-25,5.25332e-25,5.06205e-25,4.87977e-25,4.70599e-25,4.54021e-25,4.38201e-25,4.23096e-25,4.08668e-25,3.94879e-25,3.81696e-25,3.69087e-25,3.57097e-25,3.45547e-25,3.3449e-25,3.23899e-25,3.1375e-25,3.04021e-25,2.94691e-25,2.85738e-25,2.77145e-25,2.68894e-25,2.60967e-25,2.53349e-25,2.46026e-25,2.38983e-25,2.32206e-25,2.25684e-25,2.19405e-25,2.13358e-25,2.07531e-25,2.01916e-25,1.96502e-25,1.9128e-25,1.86243e-25,1.81382e-25,1.7669e-25,1.72159e-25,1.67782e-25,1.63553e-25,1.59466e-25,1.55515e-25,1.51694e-25,1.47999e-25,1.44423e-25,1.40962e-25,1.37612e-25,1.34367e-25,1.31225e-25,1.28181e-25,1.25231e-25,1.22372e-25,1.19599e-25,1.16911e-25,1.14303e-25,1.11773e-25,1.09318e-25,1.06935e-25,1.04621e-25,1.02375e-25,1.00193e-25,9.80726e-26,
Compt [cm-2],4.97997e-25,1.2717e-24,1.97608e-24,2.57448e-24,3.07494e-24,3.4923e-24,3.84062e-24,4.13178e-24,4.37545e-24,4.57948e-24,4.75022e-24,4.89285e-24,5.01162e-24,5.11002e-24,5.19097e-24,5.26403e-24,5.33099e-24,5.39224e-24,5.4482e-24,5.49922e-24,5.54563e-24,5.58778e-24,5.62594e-24,5.6604e-24,5.69143e-24,5.71925e-24,5.7441e-24,5.76619e-24,5.78571e-24,5.80284e-24,5.81776e-24,5.83062e-24,5.84156e-24,5.85073e-24,5.85824e-24,5.86423e-24,5.86879e-24,5.87203e-24,5.87404e-24,5.87492e-24,5.87474e-24,5.87358e-24,5.87151e-24,5.8686e-24,5.86491e-24,5.8605e-24,5.85541e-24,5.84971e-24,5.84343e-24,5.83662e-24,5.82932e-24,5.82157e-24,5.8134e-24,5.80485e-24,5.79594e-24,5.7867e-24,5.77717e-24,5.76736e-24,5.7573e-24,5.74701e-24,5.7365e-24,5.72581e-24,5.71494e-24,5.70392e-24,5.69275e-24,5.68146e-24,5.67005e-24,5.65854e-24,5.64693e-24,5.63525e-24,5.6235e-24,5.61168e-24,5.59982e-24,5.58791e-24,5.57596e-24,5.56399e-24,5.552e-24,5.53998e-24,5.52796e-24,5.51594e-24,5.50391e-24,5.49189e-24,5.47988e-24,5.46788e-24,5.4559e-24,5.44395e-24,5.43201e-24,5.4201e-24,5.40822e-24,5.39638e-24,5.38457e-24,5.37279e-24,5.36106e-24,5.34937e-24,5.33772e-24,5.32611e-24,5.31455e-24,5.30304e-24,5.29157e-24,5.28016e-24,5.26879e-24,5.25748e-24,5.24622e-24,5.23501e-24,5.22386e-24,5.21276e-24,5.20172e-24,5.19073e-24,5.1798e-24,5.16892e-24,5.1581e-24,5.14734e-24,5.13663e-24,5.12598e-24,5.11539e-24,5.10486e-24,5.09438e-24,5.08396e-24,5.0736e-24,5.06329e-24,5.05304e-24,5.04285e-24,5.03272e-24,5.02265e-24,5.01263e-24,5.00266e-24,4.99276e-24,4.98291e-24,4.97311e-24,4.96337e-24,4.95369e-24,4.94406e-24,4.93449e-24,4.92497e-24,4.91551e-24,4.9061e-24,4.89674e-24,4.88744e-24,4.87819e-24,4.86899e-24,4.85984e-24,4.85075e-24,4.84171e-24,4.83272e-24,4.82378e-24,4.81489e-24,4.80605e-24,4.79726e-24,4.78852e-24,
Rayl [cm-2],3.47981e-23,6.81297e-23,5.85566e-23,4.87451e-23,4.0325e-23,3.34145e-23,2.78784e-23,2.35398e-23,2.00973e-23,1.73416e-23,1.51269e-23,1.33381e-23,1.18617e-23,1.06172e-23,9.58801e-24,8.72517e-24,7.9553e-24,7.29362e-24,6.7235e-24,6.22808e-24,5.78921e-24,5.38502e-24,5.02771e-24,4.71001e-24,4.42178e-24,4.15341e-24,3.91193e-24,3.69373e-24,3.48669e-24,3.29792e-24,3.12586e-24,2.96854e-24,2.82425e-24,2.69155e-24,2.56361e-24,2.44537e-24,2.336e-24,2.2346e-24,2.1374e-24,2.04528e-24,1.9595e-24,1.87947e-24,1.80467e-24,1.73363e-24,1.66577e-24,1.60211e-24,1.5423e-24,1.48603e-24,1.43303e-24,1.38303e-24,1.33581e-24,1.29117e-24,1.24892e-24,1.20771e-24,1.16805e-24,1.13042e-24,1.0947e-24,1.06075e-24,1.02845e-24,9.97691e-25,9.68384e-25,9.40419e-25,9.12877e-25,8.86584e-25,8.61464e-25,8.37448e-25,8.14472e-25,7.92474e-25,7.71401e-25,7.512e-25,7.31822e-25,7.13224e-25,6.95364e-25,6.78202e-25,6.61701e-25,6.45829e-25,6.30553e-25,6.15842e-25,6.0155e-25,5.87457e-25,5.73873e-25,5.60773e-25,5.48134e-25,5.35934e-25,5.24153e-25,5.12772e-25,5.01773e-25,4.91138e-25,4.80852e-25,4.709e-25,4.61266e-25,4.51938e-25,4.42902e-25,4.34146e-25,4.25659e-25,4.17429e-25,4.09446e-25,4.01701e-25,3.94184e-25,3.86885e-25,3.79598e-25,3.72511e-25,3.65626e-25,3.58935e-25,3.52432e-25,3.4611e-25,3.39961e-25,3.33979e-25,3.28159e-25,3.22494e-25,3.16979e-25,3.11609e-25,3.06378e-25,3.01282e-25,2.96316e-25,2.91476e-25,2.86758e-25,2.82157e-25,2.77669e-25,2.73291e-25,2.69019e-25,2.64851e-25,2.60781e-25,2.56808e-25,2.52928e-25,2.49138e-25,2.45407e-25,2.41698e-25,2.38074e-25,2.34533e-25,2.31072e-25,2.27688e-25,2.2438e-25,2.21144e-25,2.1798e-25,2.14884e-25,2.11855e-25,2.08892e-25,2.05991e-25,2.03151e-25,2.00371e-25,1.97649e-25,1.94983e-25,1.92372e-25,1.89814e-25,1.87308e-25,1.84852e-25,1.82445e-25,1.80086e-25,
