Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],7.27763e-19,1.29281e-19,4.32989e-20,1.96372e-20,1.05783e-20,6.36065e-21,3.50306e-20,2.49748e-20,1.83566e-20,1.3853e-20,1.06943e-20,8.41879e-21,6.74073e-21,5.47753e-21,4.50924e-21,3.75502e-21,3.1591e-21,2.6822e-21,2.29614e-21,1.98036e-21,1.71963e-21,1.50248e-21,1.32022e-21,1.16612e-21,1.03497e-21,9.22657e-22,8.25934e-22,7.42193e-22,6.69334e-22,6.05649e-22,5.49744e-22,5.0047e-22,4.56874e-22,4.18164e-22,3.83678e-22,3.52855e-22,3.25223e-22,3.00383e-22,2.7799e-22,2.57751e-22,2.39416e-22,2.22765e-22,2.07611e-22,1.93789e-22,1.81157e-22,1.69591e-22,1.58979e-22,1.49227e-22,1.4025e-22,1.31971e-22,1.24326e-22,1.17254e-22,1.10703e-22,1.04627e-22,9.89825e-23,9.37329e-23,8.88442e-23,8.4286e-23,8.00311e-23,7.60548e-23,7.23346e-23,6.88505e-23,6.5584e-23,6.25186e-23,5.96391e-23,5.69317e-23,5.43837e-23,5.19837e-23,4.97211e-23,4.75864e-23,4.55706e-23,4.36656e-23,4.1864e-23,4.01588e-23,3.85438e-23,3.70131e-23,3.55613e-23,3.41835e-23,3.28749e-23,3.16313e-23,3.04489e-23,2.93238e-23,2.82526e-23,2.72323e-23,2.62598e-23,2.53324e-23,2.44474e-23,2.36027e-23,2.27958e-23,2.20247e-23,2.12875e-23,2.05823e-23,1.99074e-23,1.92613e-23,1.86424e-23,1.80493e-23,1.74807e-23,1.69353e-23,1.6412e-23,1.59055e-23,1.54234e-23,1.49605e-23,1.45158e-23,1.40885e-23,1.36778e-23,1.32828e-23,1.29028e-23,1.2537e-23,1.21849e-23,1.18459e-23,1.15192e-23,1.12044e-23,1.09008e-23,1.06082e-23,1.03258e-23,1.00534e-23,9.79036e-24,9.53642e-24,9.29116e-24,9.0542e-24,8.8252e-24,8.60383e-24,8.38978e-24,8.18275e-24,7.98244e-24,7.7886e-24,7.60097e-24,7.41929e-24,7.24334e-24,7.07289e-24,6.90773e-24,6.74766e-24,6.59249e-24,6.44202e-24,6.29609e-24,6.15452e-24,6.01715e-24,5.88383e-24,5.75441e-24,5.62875e-24,5.50672e-24,5.38818e-24,5.27301e-24,5.1611e-24,5.05233e-24,4.94659e-24,4.84377e-24,4.74378e-24,4.64652e-24,
Compt [cm-2],9.86379e-25,2.33978e-24,3.55378e-24,4.59728e-24,5.48938e-24,6.25405e-24,6.91246e-24,7.48202e-24,7.97682e-24,8.40825e-24,8.78559e-24,9.11645e-24,9.40712e-24,9.66282e-24,9.88797e-24,1.00991e-23,1.02952e-23,1.04771e-23,1.06458e-23,1.08022e-23,1.09469e-23,1.10808e-23,1.12045e-23,1.13188e-23,1.14242e-23,1.15214e-23,1.16107e-23,1.16929e-23,1.17682e-23,1.18372e-23,1.19003e-23,1.19579e-23,1.20103e-23,1.20579e-23,1.21009e-23,1.21397e-23,1.21746e-23,1.22057e-23,1.22334e-23,1.22578e-23,1.22792e-23,1.22978e-23,1.23137e-23,1.23272e-23,1.23383e-23,1.23472e-23,1.23541e-23,1.2359e-23,1.23622e-23,1.23638e-23,1.23637e-23,1.23622e-23,1.23593e-23,1.23552e-23,1.23498e-23,1.23433e-23,1.23358e-23,1.23273e-23,1.23179e-23,1.23076e-23,1.22965e-23,1.22847e-23,1.22721e-23,1.2259e-23,1.22452e-23,1.22308e-23,1.22159e-23,1.22006e-23,1.21847e-23,1.21685e-23,1.21518e-23,1.21348e-23,1.21174e-23,1.20997e-23,1.20818e-23,1.20635e-23,1.2045e-23,1.20263e-23,1.20074e-23,1.19883e-23,1.1969e-23,1.19496e-23,1.193e-23,1.19103e-23,1.18904e-23,1.18705e-23,1.18504e-23,1.18303e-23,1.18101e-23,1.17899e-23,1.17695e-23,1.17492e-23,1.17288e-23,1.17084e-23,1.16879e-23,1.16675e-23,1.1647e-23,1.16265e-23,1.1606e-23,1.15856e-23,1.15651e-23,1.15447e-23,1.15243e-23,1.15039e-23,1.14835e-23,1.14632e-23,1.14429e-23,1.14227e-23,1.14025e-23,1.13823e-23,1.13622e-23,1.13421e-23,1.13221e-23,1.13021e-23,1.12822e-23,1.12624e-23,1.12426e-23,1.12229e-23,1.12033e-23,1.11837e-23,1.11642e-23,1.11447e-23,1.11253e-23,1.1106e-23,1.10868e-23,1.10676e-23,1.10485e-23,1.10295e-23,1.10105e-23,1.09916e-23,1.09728e-23,1.09541e-23,1.09354e-23,1.09169e-23,1.08984e-23,1.08799e-23,1.08616e-23,1.08433e-23,1.08251e-23,1.0807e-23,1.0789e-23,1.0771e-23,1.07531e-23,1.07353e-23,1.07176e-23,1.06999e-23,1.06823e-23,1.06648e-23,1.06474e-23,
Rayl [cm-2],3.91189e-22,3.42806e-22,2.75804e-22,2.2164e-22,1.7657e-22,1.32726e-22,1.25271e-22,1.24578e-22,1.14642e-22,1.04267e-22,9.47342e-23,8.63274e-23,7.89827e-23,7.24795e-23,6.67827e-23,6.16741e-23,5.71251e-23,5.30211e-23,4.932e-23,4.59608e-23,4.28701e-23,4.01167e-23,3.75258e-23,3.52184e-23,3.30874e-23,3.11203e-23,2.93336e-23,2.76323e-23,2.60919e-23,2.4692e-23,2.34155e-23,2.22479e-23,2.11766e-23,2.01911e-23,1.9282e-23,1.84413e-23,1.76244e-23,1.68665e-23,1.61622e-23,1.55063e-23,1.48924e-23,1.42889e-23,1.37247e-23,1.31965e-23,1.27012e-23,1.2236e-23,1.17984e-23,1.13864e-23,1.09978e-23,1.06308e-23,1.02839e-23,9.9556e-24,9.64449e-24,9.34939e-24,9.06917e-24,8.80284e-24,8.5485e-24,8.2939e-24,8.05151e-24,7.82053e-24,7.60025e-24,7.39e-24,7.18916e-24,6.99716e-24,6.81349e-24,6.63765e-24,6.46919e-24,6.30754e-24,6.14617e-24,5.99138e-24,5.84282e-24,5.70013e-24,5.56302e-24,5.43119e-24,5.30436e-24,5.18229e-24,5.06472e-24,4.95144e-24,4.84224e-24,4.73692e-24,4.6347e-24,4.53236e-24,4.43357e-24,4.33818e-24,4.24602e-24,4.15695e-24,4.07083e-24,3.98753e-24,3.90692e-24,3.82889e-24,3.75333e-24,3.68013e-24,3.6092e-24,3.54043e-24,3.47375e-24,3.40906e-24,3.34629e-24,3.28535e-24,3.22618e-24,3.16871e-24,3.11288e-24,3.05793e-24,3.00312e-24,2.94983e-24,2.89802e-24,2.84763e-24,2.79861e-24,2.75091e-24,2.70448e-24,2.65927e-24,2.61525e-24,2.57237e-24,2.53059e-24,2.48987e-24,2.45019e-24,2.41149e-24,2.37375e-24,2.33695e-24,2.3002e-24,2.26403e-24,2.22874e-24,2.1943e-24,2.16068e-24,2.12786e-24,2.0958e-24,2.06449e-24,2.0339e-24,2.00401e-24,1.9748e-24,1.94625e-24,1.91834e-24,1.89104e-24,1.86435e-24,1.83824e-24,1.8127e-24,1.7877e-24,1.76325e-24,1.7393e-24,1.71587e-24,1.69292e-24,1.67045e-24,1.64844e-24,1.62688e-24,1.60576e-24,1.58507e-24,1.56479e-24,1.54491e-24,1.52542e-24,1.50632e-24,
