Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],2.62906e-21,2.96223e-22,7.7542e-23,2.95226e-23,1.40361e-23,7.66497e-24,4.59985e-24,2.95574e-24,2.0003e-24,1.40988e-24,1.02685e-24,7.68352e-25,5.88109e-25,4.58928e-25,3.64148e-25,2.93184e-25,2.39107e-25,1.97252e-25,1.64407e-25,1.39354e-25,1.17749e-25,1.0029e-25,8.60421e-26,7.43076e-26,6.45631e-26,5.64096e-26,4.95393e-26,4.3713e-26,3.87422e-26,3.44778e-26,3.08005e-26,2.7614e-26,2.48404e-26,2.24159e-26,2.02882e-26,1.84139e-26,1.6757e-26,1.52874e-26,1.39798e-26,1.28129e-26,1.17685e-26,1.08314e-26,9.9883e-27,9.22796e-27,8.54065e-27,7.91798e-27,7.35268e-27,6.83842e-27,6.36969e-27,5.94166e-27,5.55009e-27,5.19127e-27,4.86192e-27,4.55915e-27,4.28037e-27,4.02332e-27,3.78597e-27,3.5665e-27,3.36331e-27,3.17495e-27,3.00012e-27,2.83766e-27,2.68651e-27,2.54575e-27,2.4145e-27,2.292e-27,2.17756e-27,2.07053e-27,1.97034e-27,1.87647e-27,1.78844e-27,1.70582e-27,1.6282e-27,1.55523e-27,1.48656e-27,1.42191e-27,1.36097e-27,1.30351e-27,1.24928e-27,1.19806e-27,1.14966e-27,1.10388e-27,1.06056e-27,1.01954e-27,9.8067e-28,9.43819e-28,9.08859e-28,8.75674e-28,8.44156e-28,8.14204e-28,7.85726e-28,7.58634e-28,7.32847e-28,7.08289e-28,6.84891e-28,6.62586e-28,6.41314e-28,6.21016e-28,6.01639e-28,5.71598e-28,5.52408e-28,5.34055e-28,5.16495e-28,4.99686e-28,4.83588e-28,4.68165e-28,4.53383e-28,4.39208e-28,4.2561e-28,4.12561e-28,4.00034e-28,3.88002e-28,3.76442e-28,3.65331e-28,3.54649e-28,3.44374e-28,3.34487e-28,3.24971e-28,3.15809e-28,3.06985e-28,2.98482e-28,2.90288e-28,2.82387e-28,2.74768e-28,2.67418e-28,2.60326e-28,2.53479e-28,2.46869e-28,2.40484e-28,2.34315e-28,2.28354e-28,2.22592e-28,2.1702e-28,2.11632e-28,2.06418e-28,2.01374e-28,1.96491e-28,1.91764e-28,1.87186e-28,1.82752e-28,1.78455e-28,1.74292e-28,1.70256e-28,1.66343e-28,1.62548e-28,1.58868e-28,1.55297e-28,1.51831e-28,1.48468e-28,
Compt [cm-2],1.0323e-25,3.21041e-25,5.42093e-25,7.38433e-25,9.05511e-25,1.04518e-24,1.1609e-24,1.2562e-24,1.33428e-24,1.39787e-24,1.44928e-24,1.49042e-24,1.52289e-24,1.54802e-24,1.56692e-24,1.58304e-24,1.5976e-24,1.61072e-24,1.62251e-24,1.63305e-24,1.64244e-24,1.65077e-24,1.65811e-24,1.66454e-24,1.67013e-24,1.67493e-24,1.67901e-24,1.68242e-24,1.68521e-24,1.68743e-24,1.68912e-24,1.69032e-24,1.69108e-24,1.69141e-24,1.69136e-24,1.69096e-24,1.69024e-24,1.68921e-24,1.6879e-24,1.68634e-24,1.68454e-24,1.68253e-24,1.68032e-24,1.67793e-24,1.67537e-24,1.67266e-24,1.66981e-24,1.66683e-24,1.66373e-24,1.66053e-24,1.65723e-24,1.65385e-24,1.65038e-24,1.64685e-24,1.64324e-24,1.63959e-24,1.63587e-24,1.63212e-24,1.62832e-24,1.62449e-24,1.62062e-24,1.61673e-24,1.61282e-24,1.60889e-24,1.60494e-24,1.60098e-24,1.597e-24,1.59303e-24,1.58904e-24,1.58506e-24,1.58107e-24,1.57709e-24,1.57311e-24,1.56913e-24,1.56517e-24,1.56121e-24,1.55726e-24,1.55332e-24,1.5494e-24,1.54548e-24,1.54158e-24,1.5377e-24,1.53383e-24,1.52998e-24,1.52614e-24,1.52233e-24,1.51853e-24,1.51475e-24,1.51099e-24,1.50725e-24,1.50353e-24,1.49983e-24,1.49615e-24,1.49249e-24,1.48885e-24,1.48523e-24,1.48164e-24,1.47806e-24,1.47451e-24,1.47098e-24,1.46747e-24,1.46398e-24,1.46052e-24,1.45708e-24,1.45366e-24,1.45026e-24,1.44688e-24,1.44352e-24,1.44019e-24,1.43688e-24,1.43359e-24,1.43032e-24,1.42707e-24,1.42385e-24,1.42064e-24,1.41746e-24,1.4143e-24,1.41116e-24,1.40804e-24,1.40494e-24,1.40186e-24,1.3988e-24,1.39576e-24,1.39274e-24,1.38974e-24,1.38676e-24,1.38381e-24,1.38087e-24,1.37795e-24,1.37505e-24,1.37216e-24,1.3693e-24,1.36646e-24,1.36363e-24,1.36082e-24,1.35804e-24,1.35527e-24,1.35251e-24,1.34978e-24,1.34706e-24,1.34436e-24,1.34168e-24,1.33901e-24,1.33636e-24,1.33373e-24,1.33112e-24,1.32852e-24,1.32594e-24,1.32337e-24,
Rayl [cm-2],4.95261e-24,3.44569e-24,2.71075e-24,2.2504e-24,1.89802e-24,1.60769e-24,1.36624e-24,1.16568e-24,1.0003e-24,8.64151e-25,7.52541e-25,6.59831e-25,5.82152e-25,5.17629e-25,4.62856e-25,4.16158e-25,3.76072e-25,3.4176e-25,3.11375e-25,2.85206e-25,2.62054e-25,2.41391e-25,2.23253e-25,2.07232e-25,1.92464e-25,1.79311e-25,1.67543e-25,1.56969e-25,1.4711e-25,1.38171e-25,1.3006e-25,1.22678e-25,1.15937e-25,1.0974e-25,1.03889e-25,9.85097e-26,9.35523e-26,8.89734e-26,8.47351e-26,8.08041e-26,7.71512e-26,7.36609e-26,7.04032e-26,6.73622e-26,6.4519e-26,6.18566e-26,5.936e-26,5.70156e-26,5.48111e-26,5.27357e-26,5.07793e-26,4.89124e-26,4.71267e-26,4.54385e-26,4.38409e-26,4.23273e-26,4.0892e-26,3.95297e-26,3.82355e-26,3.70049e-26,3.58338e-26,3.47183e-26,3.36551e-26,3.26408e-26,3.16726e-26,3.07476e-26,2.98633e-26,2.90173e-26,2.81995e-26,2.74094e-26,2.66524e-26,2.59265e-26,2.52301e-26,2.45617e-26,2.39197e-26,2.33027e-26,2.27095e-26,2.21389e-26,2.15898e-26,2.1061e-26,2.05515e-26,2.00605e-26,1.95871e-26,1.91303e-26,1.86896e-26,1.8264e-26,1.78529e-26,1.74557e-26,1.70718e-26,1.67005e-26,1.63413e-26,1.59937e-26,1.56572e-26,1.53313e-26,1.50156e-26,1.47097e-26,1.44131e-26,1.41255e-26,1.38448e-26,1.35705e-26,1.33044e-26,1.3046e-26,1.27951e-26,1.25514e-26,1.23146e-26,1.20844e-26,1.18607e-26,1.16432e-26,1.14316e-26,1.12257e-26,1.10254e-26,1.08304e-26,1.06406e-26,1.04557e-26,1.02756e-26,1.01001e-26,9.92912e-27,9.76245e-27,9.59996e-27,9.4415e-27,9.28695e-27,9.13618e-27,8.98906e-27,8.84548e-27,8.70533e-27,8.56849e-27,8.43487e-27,8.30436e-27,8.17687e-27,8.0523e-27,7.93057e-27,7.81159e-27,7.69528e-27,7.58156e-27,7.47035e-27,7.36157e-27,7.25517e-27,7.15107e-27,7.0492e-27,6.9495e-27,6.85191e-27,6.75637e-27,6.66282e-27,6.57121e-27,6.48149e-27,6.3936e-27,6.30749e-27,6.22312e-27,6.14044e-27,
