Energy [keV],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,
Phot [cm-2],8.04679e-19,1.48921e-19,5.02865e-20,2.29359e-20,1.24374e-20,7.54166e-21,4.94334e-21,2.8286e-20,2.09036e-20,1.5839e-20,1.22657e-20,9.68006e-21,7.76658e-21,6.32208e-21,5.21221e-21,4.34601e-21,3.66044e-21,3.11099e-21,2.66564e-21,2.30093e-21,1.99949e-21,1.74821e-21,1.53712e-21,1.35851e-21,1.20639e-21,1.07605e-21,9.63718e-22,8.66412e-22,7.81705e-22,7.07628e-22,6.42569e-22,5.852e-22,5.34422e-22,4.89317e-22,4.49117e-22,4.13175e-22,3.80943e-22,3.51956e-22,3.25817e-22,3.02186e-22,2.8077e-22,2.61316e-22,2.43606e-22,2.27449e-22,2.12678e-22,1.9915e-22,1.86735e-22,1.75324e-22,1.64815e-22,1.55124e-22,1.4617e-22,1.37887e-22,1.30213e-22,1.23092e-22,1.16477e-22,1.10323e-22,1.04591e-22,9.92454e-23,9.42544e-23,8.95893e-23,8.52239e-23,8.11347e-23,7.73003e-23,7.37012e-23,7.03198e-23,6.71398e-23,6.41467e-23,6.13269e-23,5.86681e-23,5.61591e-23,5.37894e-23,5.15497e-23,4.94312e-23,4.74258e-23,4.55261e-23,4.37252e-23,4.2017e-23,4.03954e-23,3.88552e-23,3.73913e-23,3.59991e-23,3.46742e-23,3.34127e-23,3.22109e-23,3.10652e-23,2.99724e-23,2.89297e-23,2.7934e-23,2.69829e-23,2.60739e-23,2.52046e-23,2.4373e-23,2.35771e-23,2.28149e-23,2.20848e-23,2.1385e-23,2.0714e-23,2.00703e-23,1.94527e-23,1.88527e-23,1.82835e-23,1.77369e-23,1.72118e-23,1.67071e-23,1.62219e-23,1.57551e-23,1.5306e-23,1.48738e-23,1.44576e-23,1.40567e-23,1.36704e-23,1.32981e-23,1.29392e-23,1.25929e-23,1.22589e-23,1.19365e-23,1.16253e-23,1.13248e-23,1.10345e-23,1.0754e-23,1.04828e-23,1.02207e-23,9.96724e-24,9.72204e-24,9.48479e-24,9.25516e-24,9.03286e-24,8.8176e-24,8.60911e-24,8.40711e-24,8.21137e-24,8.02163e-24,7.83768e-24,7.65929e-24,7.48626e-24,7.31839e-24,7.15549e-24,6.99737e-24,6.84387e-24,6.69481e-24,6.55005e-24,6.40941e-24,6.27277e-24,6.13997e-24,6.0109e-24,5.8854e-24,5.76337e-24,5.64469e-24,5.52924e-24,
Compt [cm-2],1.00699e-24,2.38514e-24,3.62306e-24,4.68929e-24,5.60286e-24,6.38774e-24,7.06513e-24,7.65251e-24,8.16405e-24,8.6112e-24,9.00332e-24,9.34808e-24,9.65182e-24,9.91984e-24,1.01566e-23,1.0379e-23,1.05857e-23,1.07776e-23,1.09557e-23,1.11208e-23,1.12738e-23,1.14155e-23,1.15465e-23,1.16677e-23,1.17795e-23,1.18827e-23,1.19778e-23,1.20653e-23,1.21456e-23,1.22194e-23,1.22869e-23,1.23486e-23,1.24049e-23,1.24561e-23,1.25026e-23,1.25446e-23,1.25824e-23,1.26164e-23,1.26467e-23,1.26736e-23,1.26973e-23,1.2718e-23,1.27359e-23,1.27512e-23,1.2764e-23,1.27745e-23,1.27829e-23,1.27893e-23,1.27938e-23,1.27965e-23,1.27975e-23,1.2797e-23,1.27951e-23,1.27918e-23,1.27872e-23,1.27814e-23,1.27746e-23,1.27666e-23,1.27577e-23,1.27479e-23,1.27373e-23,1.27258e-23,1.27136e-23,1.27007e-23,1.26871e-23,1.26729e-23,1.26582e-23,1.26429e-23,1.26272e-23,1.26109e-23,1.25943e-23,1.25773e-23,1.25599e-23,1.25421e-23,1.2524e-23,1.25057e-23,1.24871e-23,1.24682e-23,1.24491e-23,1.24298e-23,1.24102e-23,1.23906e-23,1.23707e-23,1.23507e-23,1.23306e-23,1.23103e-23,1.229e-23,1.22695e-23,1.2249e-23,1.22284e-23,1.22077e-23,1.2187e-23,1.21662e-23,1.21454e-23,1.21245e-23,1.21036e-23,1.20827e-23,1.20618e-23,1.20409e-23,1.202e-23,1.19991e-23,1.19782e-23,1.19574e-23,1.19365e-23,1.19157e-23,1.18949e-23,1.18741e-23,1.18534e-23,1.18327e-23,1.1812e-23,1.17914e-23,1.17708e-23,1.17503e-23,1.17299e-23,1.17095e-23,1.16891e-23,1.16688e-23,1.16486e-23,1.16284e-23,1.16083e-23,1.15883e-23,1.15683e-23,1.15484e-23,1.15286e-23,1.15088e-23,1.14891e-23,1.14695e-23,1.14499e-23,1.14304e-23,1.1411e-23,1.13917e-23,1.13724e-23,1.13532e-23,1.13341e-23,1.13151e-23,1.12961e-23,1.12773e-23,1.12585e-23,1.12397e-23,1.12211e-23,1.12025e-23,1.1184e-23,1.11656e-23,1.11473e-23,1.1129e-23,1.11108e-23,1.10927e-23,1.10747e-23,1.10567e-23,
Rayl [cm-2],4.06666e-22,3.79765e-22,3.08823e-22,2.50521e-22,2.02782e-22,1.61029e-22,9.88935e-23,1.30512e-22,1.24048e-22,1.1386e-22,1.03846e-22,9.4803e-23,8.68028e-23,7.96796e-23,7.34606e-23,6.7913e-23,6.292e-23,5.84811e-23,5.44211e-23,5.07763e-23,4.74312e-23,4.4366e-23,4.15807e-23,3.90268e-23,3.66606e-23,3.45359e-23,3.25249e-23,3.0685e-23,2.90171e-23,2.74997e-23,2.60586e-23,2.47354e-23,2.35222e-23,2.24069e-23,2.13789e-23,2.04289e-23,1.95489e-23,1.87321e-23,1.79623e-23,1.72085e-23,1.65061e-23,1.58502e-23,1.52368e-23,1.46621e-23,1.41229e-23,1.36084e-23,1.31163e-23,1.26529e-23,1.22161e-23,1.18038e-23,1.14141e-23,1.10453e-23,1.0696e-23,1.03647e-23,1.00503e-23,9.75148e-24,9.46727e-24,9.1967e-24,8.929e-24,8.67118e-24,8.42532e-24,8.19068e-24,7.96658e-24,7.75237e-24,7.54748e-24,7.35134e-24,7.16347e-24,6.98339e-24,6.81066e-24,6.64489e-24,6.48192e-24,6.32258e-24,6.16948e-24,6.02229e-24,5.8807e-24,5.74443e-24,5.61321e-24,5.48679e-24,5.36493e-24,5.24741e-24,5.13402e-24,5.02457e-24,4.91887e-24,4.81647e-24,4.71394e-24,4.61485e-24,4.51904e-24,4.42637e-24,4.3367e-24,4.24991e-24,4.16585e-24,4.08443e-24,4.00553e-24,3.92905e-24,3.85488e-24,3.78293e-24,3.71311e-24,3.64534e-24,3.57954e-24,3.51563e-24,3.45353e-24,3.39318e-24,3.33395e-24,3.27467e-24,3.21704e-24,3.16098e-24,3.10646e-24,3.05339e-24,3.00175e-24,2.95147e-24,2.9025e-24,2.85481e-24,2.80834e-24,2.76306e-24,2.71892e-24,2.67588e-24,2.63392e-24,2.59298e-24,2.55304e-24,2.51407e-24,2.47603e-24,2.4387e-24,2.40121e-24,2.36461e-24,2.32886e-24,2.29395e-24,2.25984e-24,2.22652e-24,2.19395e-24,2.16212e-24,2.131e-24,2.10057e-24,2.07081e-24,2.0417e-24,2.01323e-24,1.98537e-24,1.9581e-24,1.93142e-24,1.90529e-24,1.87972e-24,1.85467e-24,1.83014e-24,1.80611e-24,1.78258e-24,1.75951e-24,1.73691e-24,1.71476e-24,1.69305e-24,1.67176e-24,
